task,horizon,period,feature_group,model,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence,comparison,metric,observed_delta,ci_low,ci_high,bootstrap_iterations,rows_used
onset,H5,validation,P,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,validation,M,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,validation,C,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,validation,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,validation,P,Logit,0.004112,2.114501,1.165901,,,,,,,
onset,H5,validation,P,LightGBM,0.076318,4.504806,2.912662,,,,,,,
onset,H5,validation,P,SMARTBoost,0.082704,4.554952,2.979524,,,,,,,
onset,H5,validation,M,Logit,-0.001280,1.571249,0.961137,,,,,,,
onset,H5,validation,M,LightGBM,0.068943,4.103636,2.766402,,,,,,,
onset,H5,validation,M,SMARTBoost,0.071286,4.337651,2.862516,,,,,,,
onset,H5,validation,C,Logit,-0.002339,1.621396,0.860844,,,,,,,
onset,H5,validation,C,LightGBM,0.072529,4.379440,2.804012,,,,,,,
onset,H5,validation,C,SMARTBoost,0.071771,4.446302,2.824906,,,,,,,
onset,H5,validation,ALL,Logit,0.022208,2.540744,1.583786,,,,,,,
onset,H5,validation,ALL,LightGBM,0.112942,5.098203,3.435019,,,,,,,
onset,H5,validation,ALL,SMARTBoost,0.099928,4.939407,3.363978,,,,,,,
onset,H5,test,P,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,test,M,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,test,C,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,test,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,test,P,Logit,0.002895,1.768659,1.411390,,,,,,,
onset,H5,test,P,LightGBM,0.077568,4.301380,3.148214,,,,,,,
onset,H5,test,P,SMARTBoost,0.087705,4.421648,3.218960,,,,,,,
onset,H5,test,M,Logit,-0.005047,1.110718,0.962151,,,,,,,
onset,H5,test,M,LightGBM,0.067264,4.202335,3.073930,,,,,,,
onset,H5,test,M,SMARTBoost,0.070359,4.407499,3.109303,,,,,,,
onset,H5,test,C,Logit,-0.003592,1.195614,0.912628,,,,,,,
onset,H5,test,C,LightGBM,0.064959,3.898125,3.031482,,,,,,,
onset,H5,test,C,SMARTBoost,0.065509,4.188185,3.027945,,,,,,,
onset,H5,test,ALL,Logit,0.030032,2.822780,2.033958,,,,,,,
onset,H5,test,ALL,LightGBM,0.103517,4.938097,3.632826,,,,,,,
onset,H5,test,ALL,SMARTBoost,0.099272,4.867351,3.692961,,,,,,,
onset,H10,validation,P,Naive,0.000000,0.000000,0.000000,,,,,,,
