horizon,model,feature_group,event_rate,PR_AUC,Top5_hit_rate,Top5_lift,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Brier,status
H5,Naive,P,0.035338,0.054260,0.021500,0.608419,0.000000,0.000000,0.201466,OK
H5,Naive,M,0.035338,0.054260,0.021500,0.608419,0.000000,0.000000,0.201466,OK
H5,Naive,C,0.035338,0.054260,0.021500,0.608419,0.000000,0.000000,0.201466,OK
H5,Naive,ALL,0.035338,0.054260,0.021500,0.608419,0.000000,0.000000,0.201466,OK
H5,Logit,P,0.035338,0.057155,0.084000,2.377078,0.002895,1.768659,0.212000,OK
H5,LightGBM,P,0.035338,0.131827,0.173500,4.909798,0.077568,4.301380,0.142553,OK
H5,SMARTBoost,P,0.035338,0.141965,0.177750,5.030067,0.087705,4.421648,0.144257,OK
H5,Logit,M,0.035338,0.049213,0.060750,1.719137,-0.005047,1.110718,0.163486,OK
H5,LightGBM,M,0.035338,0.121524,0.170000,4.810753,0.067264,4.202335,0.112015,OK
H5,SMARTBoost,M,0.035338,0.124618,0.177250,5.015918,0.070359,4.407499,0.114799,OK
H5,Logit,C,0.035338,0.050668,0.063750,1.804033,-0.003592,1.195614,0.132240,OK
H5,LightGBM,C,0.035338,0.119219,0.159250,4.506544,0.064959,3.898125,0.113007,OK
H5,SMARTBoost,C,0.035338,0.119769,0.169500,4.796604,0.065509,4.188185,0.116289,OK
H5,Logit,ALL,0.035338,0.084291,0.121250,3.431199,0.030032,2.822780,0.117584,OK
H5,LightGBM,ALL,0.035338,0.157776,0.196000,5.546516,0.103517,4.938097,0.121078,OK
H5,SMARTBoost,ALL,0.035338,0.153532,0.193500,5.475769,0.099272,4.867351,0.132378,OK
H10,Naive,P,0.045125,0.076567,0.039000,0.864266,0.000000,0.000000,0.188819,OK
H10,Naive,M,0.045125,0.076567,0.039000,0.864266,0.000000,0.000000,0.188819,OK
H10,Naive,C,0.045125,0.076567,0.039000,0.864266,0.000000,0.000000,0.188819,OK
H10,Naive,ALL,0.045125,0.076567,0.039000,0.864266,0.000000,0.000000,0.188819,OK
H10,Logit,P,0.045125,0.079131,0.105500,2.337950,0.002564,1.473684,0.203754,OK
H10,LightGBM,P,0.045125,0.176499,0.235000,5.207756,0.099932,4.343490,0.142195,OK
H10,SMARTBoost,P,0.045125,0.182318,0.240500,5.329640,0.105752,4.465374,0.143577,OK
H10,Logit,M,0.045125,0.067123,0.077500,1.717452,-0.009444,0.853186,0.164051,OK
H10,LightGBM,M,0.045125,0.155970,0.225000,4.986150,0.079403,4.121884,0.114408,OK
H10,SMARTBoost,M,0.045125,0.152800,0.221500,4.908587,0.076233,4.044321,0.117751,OK
H10,Logit,C,0.045125,0.068099,0.081750,1.811634,-0.008467,0.947368,0.145406,OK
H10,LightGBM,C,0.045125,0.156969,0.224000,4.963989,0.080402,4.099723,0.116127,OK
H10,SMARTBoost,C,0.045125,0.152096,0.218750,4.847645,0.075529,3.983380,0.119070,OK
H10,Logit,ALL,0.045125,0.106265,0.149500,3.313019,0.029699,2.448753,0.126372,OK
H10,LightGBM,ALL,0.045125,0.197715,0.245000,5.429363,0.121148,4.565097,0.125170,OK
H10,SMARTBoost,ALL,0.045125,0.192774,0.246000,5.451524,0.116207,4.587258,0.130560,OK
