task,horizon,period,feature_group,model,top_frac,hit_rate,lift
onset,H5,validation,P,Naive,0.010000,0.031250,1.044714
onset,H5,validation,P,Naive,0.050000,0.036250,1.211868
onset,H5,validation,P,Naive,0.100000,0.048000,1.604680
onset,H5,validation,P,Naive,0.200000,0.071438,2.388216
onset,H5,validation,M,Naive,0.010000,0.031250,1.044714
onset,H5,validation,M,Naive,0.050000,0.036250,1.211868
onset,H5,validation,M,Naive,0.100000,0.048000,1.604680
onset,H5,validation,M,Naive,0.200000,0.071438,2.388216
onset,H5,validation,C,Naive,0.010000,0.031250,1.044714
onset,H5,validation,C,Naive,0.050000,0.036250,1.211868
onset,H5,validation,C,Naive,0.100000,0.048000,1.604680
onset,H5,validation,C,Naive,0.200000,0.071438,2.388216
onset,H5,validation,ALL,Naive,0.010000,0.031250,1.044714
onset,H5,validation,ALL,Naive,0.050000,0.036250,1.211868
onset,H5,validation,ALL,Naive,0.100000,0.048000,1.604680
onset,H5,validation,ALL,Naive,0.200000,0.071438,2.388216
onset,H5,validation,P,Logit,0.010000,0.076250,2.549102
onset,H5,validation,P,Logit,0.050000,0.099500,3.326369
onset,H5,validation,P,Logit,0.100000,0.082875,2.770581
onset,H5,validation,P,Logit,0.200000,0.063250,2.114501
onset,H5,validation,P,LightGBM,0.010000,0.235000,7.856247
onset,H5,validation,P,LightGBM,0.050000,0.171000,5.716674
onset,H5,validation,P,LightGBM,0.100000,0.135125,4.517342
onset,H5,validation,P,LightGBM,0.200000,0.094937,3.173840
onset,H5,validation,P,SMARTBoost,0.010000,0.263750,8.817384
onset,H5,validation,P,SMARTBoost,0.050000,0.172500,5.766820
onset,H5,validation,P,SMARTBoost,0.100000,0.137125,4.584204
onset,H5,validation,P,SMARTBoost,0.200000,0.094500,3.159214
onset,H5,validation,M,Logit,0.010000,0.065000,2.173005
onset,H5,validation,M,Logit,0.050000,0.083250,2.783117
onset,H5,validation,M,Logit,0.100000,0.076750,2.565817
onset,H5,validation,M,Logit,0.200000,0.060375,2.018387
onset,H5,validation,M,LightGBM,0.010000,0.227500,7.605516
onset,H5,validation,M,LightGBM,0.050000,0.159000,5.315504
onset,H5,validation,M,LightGBM,0.100000,0.130750,4.371082
onset,H5,validation,M,LightGBM,0.200000,0.095875,3.205182
onset,H5,validation,M,SMARTBoost,0.010000,0.221250,7.396573
onset,H5,validation,M,SMARTBoost,0.050000,0.166000,5.549519
onset,H5,validation,M,SMARTBoost,0.100000,0.133625,4.467196
onset,H5,validation,M,SMARTBoost,0.200000,0.095250,3.184288
onset,H5,validation,C,Logit,0.010000,0.056250,1.880485
onset,H5,validation,C,Logit,0.050000,0.084750,2.833264
onset,H5,validation,C,Logit,0.100000,0.073750,2.465524
onset,H5,validation,C,Logit,0.200000,0.060437,2.020476
onset,H5,validation,C,LightGBM,0.010000,0.226250,7.563728
onset,H5,validation,C,LightGBM,0.050000,0.167250,5.591308
onset,H5,validation,C,LightGBM,0.100000,0.131875,4.408692
onset,H5,validation,C,LightGBM,0.200000,0.096250,3.217718
onset,H5,validation,C,SMARTBoost,0.010000,0.223750,7.480150
onset,H5,validation,C,SMARTBoost,0.050000,0.169250,5.658170
onset,H5,validation,C,SMARTBoost,0.100000,0.132500,4.429586
onset,H5,validation,C,SMARTBoost,0.200000,0.095312,3.186377
onset,H5,validation,ALL,Logit,0.010000,0.118750,3.969912
onset,H5,validation,ALL,Logit,0.050000,0.112250,3.752612
onset,H5,validation,ALL,Logit,0.100000,0.095375,3.188466
onset,H5,validation,ALL,Logit,0.200000,0.077750,2.599248
onset,H5,validation,ALL,LightGBM,0.010000,0.296250,9.903886
onset,H5,validation,ALL,LightGBM,0.050000,0.188750,6.310071
onset,H5,validation,ALL,LightGBM,0.100000,0.150750,5.039699
onset,H5,validation,ALL,LightGBM,0.200000,0.107500,3.593815
onset,H5,validation,ALL,SMARTBoost,0.010000,0.280000,9.360635
onset,H5,validation,ALL,SMARTBoost,0.050000,0.184000,6.151275
onset,H5,validation,ALL,SMARTBoost,0.100000,0.148625,4.968659
onset,H5,validation,ALL,SMARTBoost,0.200000,0.105250,3.518596
onset,H5,test,P,Naive,0.010000,0.015000,0.424478
onset,H5,test,P,Naive,0.050000,0.021500,0.608419
onset,H5,test,P,Naive,0.100000,0.033500,0.948001
onset,H5,test,P,Naive,0.200000,0.062875,1.779271
onset,H5,test,M,Naive,0.010000,0.015000,0.424478
onset,H5,test,M,Naive,0.050000,0.021500,0.608419
onset,H5,test,M,Naive,0.100000,0.033500,0.948001
onset,H5,test,M,Naive,0.200000,0.062875,1.779271
onset,H5,test,C,Naive,0.010000,0.015000,0.424478
onset,H5,test,C,Naive,0.050000,0.021500,0.608419
onset,H5,test,C,Naive,0.100000,0.033500,0.948001
onset,H5,test,C,Naive,0.200000,0.062875,1.779271
onset,H5,test,ALL,Naive,0.010000,0.015000,0.424478
onset,H5,test,ALL,Naive,0.050000,0.021500,0.608419
onset,H5,test,ALL,Naive,0.100000,0.033500,0.948001
onset,H5,test,ALL,Naive,0.200000,0.062875,1.779271
onset,H5,test,P,Logit,0.010000,0.005000,0.141493
onset,H5,test,P,Logit,0.050000,0.084000,2.377078
onset,H5,test,P,Logit,0.100000,0.083375,2.359392
onset,H5,test,P,Logit,0.200000,0.069125,1.956137
onset,H5,test,P,LightGBM,0.010000,0.227500,6.437920
onset,H5,test,P,LightGBM,0.050000,0.173500,4.909798
onset,H5,test,P,LightGBM,0.100000,0.144750,4.096215
onset,H5,test,P,LightGBM,0.200000,0.109313,3.093385
onset,H5,test,P,SMARTBoost,0.010000,0.258750,7.322250
onset,H5,test,P,SMARTBoost,0.050000,0.177750,5.030067
onset,H5,test,P,SMARTBoost,0.100000,0.147250,4.166961
onset,H5,test,P,SMARTBoost,0.200000,0.110000,3.112840
onset,H5,test,M,Logit,0.010000,0.046250,1.308808
onset,H5,test,M,Logit,0.050000,0.060750,1.719137
onset,H5,test,M,Logit,0.100000,0.067500,1.910152
onset,H5,test,M,Logit,0.200000,0.058188,1.646622
onset,H5,test,M,LightGBM,0.010000,0.177500,5.022993
onset,H5,test,M,LightGBM,0.050000,0.170000,4.810753
onset,H5,test,M,LightGBM,0.100000,0.142125,4.021931
onset,H5,test,M,LightGBM,0.200000,0.107875,3.052706
onset,H5,test,M,SMARTBoost,0.010000,0.182500,5.164485
onset,H5,test,M,SMARTBoost,0.050000,0.177250,5.015918
onset,H5,test,M,SMARTBoost,0.100000,0.143375,4.057305
onset,H5,test,M,SMARTBoost,0.200000,0.107375,3.038557
onset,H5,test,C,Logit,0.010000,0.045000,1.273435
onset,H5,test,C,Logit,0.050000,0.063750,1.804033
onset,H5,test,C,Logit,0.100000,0.065750,1.860630
onset,H5,test,C,Logit,0.200000,0.059562,1.685532
onset,H5,test,C,LightGBM,0.010000,0.185000,5.235232
onset,H5,test,C,LightGBM,0.050000,0.159250,4.506544
onset,H5,test,C,LightGBM,0.100000,0.140625,3.979484
onset,H5,test,C,LightGBM,0.200000,0.106188,3.004952
onset,H5,test,C,SMARTBoost,0.010000,0.166250,4.704634
onset,H5,test,C,SMARTBoost,0.050000,0.169500,4.796604
onset,H5,test,C,SMARTBoost,0.100000,0.140500,3.975946
onset,H5,test,C,SMARTBoost,0.200000,0.106625,3.017333
onset,H5,test,ALL,Logit,0.010000,0.121250,3.431199
onset,H5,test,ALL,Logit,0.050000,0.121250,3.431199
onset,H5,test,ALL,Logit,0.100000,0.105375,2.981960
onset,H5,test,ALL,Logit,0.200000,0.085125,2.408914
onset,H5,test,ALL,LightGBM,0.010000,0.235000,6.650159
onset,H5,test,ALL,LightGBM,0.050000,0.196000,5.546516
onset,H5,test,ALL,LightGBM,0.100000,0.161875,4.580828
onset,H5,test,ALL,LightGBM,0.200000,0.124750,3.530244
onset,H5,test,ALL,SMARTBoost,0.010000,0.228750,6.473293
onset,H5,test,ALL,SMARTBoost,0.050000,0.193500,5.475769
onset,H5,test,ALL,SMARTBoost,0.100000,0.164000,4.640962
onset,H5,test,ALL,SMARTBoost,0.200000,0.121250,3.431199
onset,H10,validation,P,Naive,0.010000,0.040000,1.056106
onset,H10,validation,P,Naive,0.050000,0.050500,1.333333
onset,H10,validation,P,Naive,0.100000,0.083625,2.207921
onset,H10,validation,P,Naive,0.200000,0.100000,2.640264
onset,H10,validation,M,Naive,0.010000,0.040000,1.056106
onset,H10,validation,M,Naive,0.050000,0.050500,1.333333
onset,H10,validation,M,Naive,0.100000,0.083625,2.207921
onset,H10,validation,M,Naive,0.200000,0.100000,2.640264
onset,H10,validation,C,Naive,0.010000,0.040000,1.056106
onset,H10,validation,C,Naive,0.050000,0.050500,1.333333
onset,H10,validation,C,Naive,0.100000,0.083625,2.207921
onset,H10,validation,C,Naive,0.200000,0.100000,2.640264
onset,H10,validation,ALL,Naive,0.010000,0.040000,1.056106
onset,H10,validation,ALL,Naive,0.050000,0.050500,1.333333
onset,H10,validation,ALL,Naive,0.100000,0.083625,2.207921
onset,H10,validation,ALL,Naive,0.200000,0.100000,2.640264
onset,H10,validation,P,Logit,0.010000,0.081250,2.145215
onset,H10,validation,P,Logit,0.050000,0.136250,3.597360
onset,H10,validation,P,Logit,0.100000,0.116375,3.072607
onset,H10,validation,P,Logit,0.200000,0.091750,2.422442
onset,H10,validation,P,LightGBM,0.010000,0.296250,7.821782
onset,H10,validation,P,LightGBM,0.050000,0.219000,5.782178
onset,H10,validation,P,LightGBM,0.100000,0.167375,4.419142
onset,H10,validation,P,LightGBM,0.200000,0.117750,3.108911
onset,H10,validation,P,SMARTBoost,0.010000,0.318750,8.415842
onset,H10,validation,P,SMARTBoost,0.050000,0.221000,5.834983
onset,H10,validation,P,SMARTBoost,0.100000,0.173500,4.580858
onset,H10,validation,P,SMARTBoost,0.200000,0.120750,3.188119
onset,H10,validation,M,Logit,0.010000,0.097500,2.574257
onset,H10,validation,M,Logit,0.050000,0.122750,3.240924
onset,H10,validation,M,Logit,0.100000,0.105625,2.788779
onset,H10,validation,M,Logit,0.200000,0.083062,2.193069
onset,H10,validation,M,LightGBM,0.010000,0.275000,7.260726
onset,H10,validation,M,LightGBM,0.050000,0.214750,5.669967
onset,H10,validation,M,LightGBM,0.100000,0.168375,4.445545
onset,H10,validation,M,LightGBM,0.200000,0.117375,3.099010
onset,H10,validation,M,SMARTBoost,0.010000,0.281250,7.425743
onset,H10,validation,M,SMARTBoost,0.050000,0.227000,5.993399
onset,H10,validation,M,SMARTBoost,0.100000,0.177750,4.693069
onset,H10,validation,M,SMARTBoost,0.200000,0.120250,3.174917
onset,H10,validation,C,Logit,0.010000,0.077500,2.046205
onset,H10,validation,C,Logit,0.050000,0.115500,3.049505
onset,H10,validation,C,Logit,0.100000,0.104625,2.762376
onset,H10,validation,C,Logit,0.200000,0.082625,2.181518
onset,H10,validation,C,LightGBM,0.010000,0.280000,7.392739
onset,H10,validation,C,LightGBM,0.050000,0.215500,5.689769
onset,H10,validation,C,LightGBM,0.100000,0.169375,4.471947
onset,H10,validation,C,LightGBM,0.200000,0.119063,3.143564
onset,H10,validation,C,SMARTBoost,0.010000,0.291250,7.689769
onset,H10,validation,C,SMARTBoost,0.050000,0.223500,5.900990
onset,H10,validation,C,SMARTBoost,0.100000,0.177000,4.673267
onset,H10,validation,C,SMARTBoost,0.200000,0.119500,3.155116
onset,H10,validation,ALL,Logit,0.010000,0.138750,3.663366
onset,H10,validation,ALL,Logit,0.050000,0.141500,3.735974
onset,H10,validation,ALL,Logit,0.100000,0.123875,3.270627
onset,H10,validation,ALL,Logit,0.200000,0.098625,2.603960
onset,H10,validation,ALL,LightGBM,0.010000,0.306250,8.085809
onset,H10,validation,ALL,LightGBM,0.050000,0.239000,6.310231
