task,horizon,period,feature_group,model,status,rows,event_rate,PR_AUC,ROC_AUC,Brier,Top1_hit_rate,Top1_lift,Top5_hit_rate,Top5_lift,Top10_hit_rate,Top10_lift,Top20_hit_rate,Top20_lift,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence
continuation,H5,validation,P,Naive,OK,3999,0.150038,0.536602,0.895358,0.136333,0.650000,4.332250,0.610000,4.065650,0.585000,3.899025,0.521250,3.474131,0.000000,0.000000,0.000000
continuation,H5,validation,M,Naive,OK,3999,0.150038,0.536602,0.895358,0.136333,0.650000,4.332250,0.610000,4.065650,0.585000,3.899025,0.521250,3.474131,0.000000,0.000000,0.000000
continuation,H5,validation,C,Naive,OK,3999,0.150038,0.536602,0.895358,0.136333,0.650000,4.332250,0.610000,4.065650,0.585000,3.899025,0.521250,3.474131,0.000000,0.000000,0.000000
continuation,H5,validation,ALL,Naive,OK,3999,0.150038,0.536602,0.895358,0.136333,0.650000,4.332250,0.610000,4.065650,0.585000,3.899025,0.521250,3.474131,0.000000,0.000000,0.000000
continuation,H5,validation,P,Logit,OK,3999,0.150038,0.688587,0.918477,0.096730,0.850000,5.665250,0.850000,5.665250,0.747500,4.982088,0.572500,3.815713,0.151986,1.599600,1.083063
continuation,H5,validation,P,LightGBM,OK,3999,0.150038,0.150038,0.500000,0.250000,0.125000,0.833125,0.205000,1.366325,0.260000,1.732900,0.363750,2.424394,-0.386564,-2.699325,-2.166125
continuation,H5,validation,P,SMARTBoost,OK,3999,0.150038,0.150038,0.500000,0.250000,0.125000,0.833125,0.205000,1.366325,0.260000,1.732900,0.363750,2.424394,-0.386564,-2.699325,-2.166125
continuation,H5,validation,M,Logit,OK,3999,0.150038,0.674609,0.911236,0.084425,0.850000,5.665250,0.835000,5.565275,0.737500,4.915438,0.565000,3.765725,0.138007,1.499625,1.016413
continuation,H5,validation,M,LightGBM,OK,3999,0.150038,0.150038,0.500000,0.250000,0.125000,0.833125,0.205000,1.366325,0.260000,1.732900,0.363750,2.424394,-0.386564,-2.699325,-2.166125
continuation,H5,validation,M,SMARTBoost,OK,3999,0.150038,0.150038,0.500000,0.250000,0.125000,0.833125,0.205000,1.366325,0.260000,1.732900,0.363750,2.424394,-0.386564,-2.699325,-2.166125
continuation,H5,validation,C,Logit,OK,3999,0.150038,0.658078,0.906638,0.086996,0.825000,5.498625,0.810000,5.398650,0.735000,4.898775,0.548750,3.657419,0.121476,1.333000,0.999750
continuation,H5,validation,C,LightGBM,OK,3999,0.150038,0.150038,0.500000,0.250000,0.125000,0.833125,0.205000,1.366325,0.260000,1.732900,0.363750,2.424394,-0.386564,-2.699325,-2.166125
continuation,H5,validation,C,SMARTBoost,OK,3999,0.150038,0.150038,0.500000,0.250000,0.125000,0.833125,0.205000,1.366325,0.260000,1.732900,0.363750,2.424394,-0.386564,-2.699325,-2.166125
continuation,H5,validation,ALL,Logit,OK,3999,0.150038,0.666570,0.905819,0.098287,0.850000,5.665250,0.830000,5.531950,0.742500,4.948762,0.555000,3.699075,0.129969,1.466300,1.049737
continuation,H5,validation,ALL,LightGBM,OK,3999,0.150038,0.150038,0.500000,0.250000,0.125000,0.833125,0.205000,1.366325,0.260000,1.732900,0.363750,2.424394,-0.386564,-2.699325,-2.166125
continuation,H5,validation,ALL,SMARTBoost,OK,3999,0.150038,0.150038,0.500000,0.250000,0.125000,0.833125,0.205000,1.366325,0.260000,1.732900,0.363750,2.424394,-0.386564,-2.699325,-2.166125
continuation,H5,test,P,Naive,OK,3999,0.199300,0.762603,0.939112,0.110883,0.825000,4.139492,0.855000,4.290019,0.847500,4.252387,0.722500,3.625191,0.000000,0.000000,0.000000
continuation,H5,test,M,Naive,OK,3999,0.199300,0.762603,0.939112,0.110883,0.825000,4.139492,0.855000,4.290019,0.847500,4.252387,0.722500,3.625191,0.000000,0.000000,0.000000
continuation,H5,test,C,Naive,OK,3999,0.199300,0.762603,0.939112,0.110883,0.825000,4.139492,0.855000,4.290019,0.847500,4.252387,0.722500,3.625191,0.000000,0.000000,0.000000
continuation,H5,test,ALL,Naive,OK,3999,0.199300,0.762603,0.939112,0.110883,0.825000,4.139492,0.855000,4.290019,0.847500,4.252387,0.722500,3.625191,0.000000,0.000000,0.000000
continuation,H5,test,P,Logit,OK,3999,0.199300,0.845014,0.956129,0.082563,0.875000,4.390370,0.935000,4.691424,0.922500,4.628705,0.781250,3.919973,0.082411,0.401405,0.376317
continuation,H5,test,P,LightGBM,OK,3999,0.199300,0.199300,0.500000,0.250000,0.075000,0.376317,0.200000,1.003513,0.245000,1.229304,0.340000,1.705972,-0.563304,-3.286506,-3.023083
continuation,H5,test,P,SMARTBoost,OK,3999,0.199300,0.199300,0.500000,0.250000,0.075000,0.376317,0.200000,1.003513,0.245000,1.229304,0.340000,1.705972,-0.563304,-3.286506,-3.023083
continuation,H5,test,M,Logit,OK,3999,0.199300,0.801059,0.932880,0.093627,0.900000,4.515809,0.940000,4.716512,0.882500,4.428002,0.742500,3.725543,0.038455,0.426493,0.175615
continuation,H5,test,M,LightGBM,OK,3999,0.199300,0.199300,0.500000,0.250000,0.075000,0.376317,0.200000,1.003513,0.245000,1.229304,0.340000,1.705972,-0.563304,-3.286506,-3.023083
continuation,H5,test,M,SMARTBoost,OK,3999,0.199300,0.199300,0.500000,0.250000,0.075000,0.376317,0.200000,1.003513,0.245000,1.229304,0.340000,1.705972,-0.563304,-3.286506,-3.023083
continuation,H5,test,C,Logit,OK,3999,0.199300,0.800553,0.931552,0.094762,0.900000,4.515809,0.935000,4.691424,0.885000,4.440546,0.750000,3.763174,0.037950,0.401405,0.188159
continuation,H5,test,C,LightGBM,OK,3999,0.199300,0.199300,0.500000,0.250000,0.075000,0.376317,0.200000,1.003513,0.245000,1.229304,0.340000,1.705972,-0.563304,-3.286506,-3.023083
continuation,H5,test,C,SMARTBoost,OK,3999,0.199300,0.199300,0.500000,0.250000,0.075000,0.376317,0.200000,1.003513,0.245000,1.229304,0.340000,1.705972,-0.563304,-3.286506,-3.023083
continuation,H5,test,ALL,Logit,OK,3999,0.199300,0.816560,0.934961,0.151036,0.875000,4.390370,0.960000,4.816863,0.917500,4.603617,0.742500,3.725543,0.053956,0.526844,0.351230
continuation,H5,test,ALL,LightGBM,OK,3999,0.199300,0.199300,0.500000,0.250000,0.075000,0.376317,0.200000,1.003513,0.245000,1.229304,0.340000,1.705972,-0.563304,-3.286506,-3.023083
continuation,H5,test,ALL,SMARTBoost,OK,3999,0.199300,0.199300,0.500000,0.250000,0.075000,0.376317,0.200000,1.003513,0.245000,1.229304,0.340000,1.705972,-0.563304,-3.286506,-3.023083
continuation,H10,validation,P,Naive,OK,3999,0.161290,0.536739,0.884394,0.141604,0.550000,3.410000,0.660000,4.092000,0.610000,3.782000,0.541250,3.355750,0.000000,0.000000,0.000000
continuation,H10,validation,M,Naive,OK,3999,0.161290,0.536739,0.884394,0.141604,0.550000,3.410000,0.660000,4.092000,0.610000,3.782000,0.541250,3.355750,0.000000,0.000000,0.000000
continuation,H10,validation,C,Naive,OK,3999,0.161290,0.536739,0.884394,0.141604,0.550000,3.410000,0.660000,4.092000,0.610000,3.782000,0.541250,3.355750,0.000000,0.000000,0.000000
continuation,H10,validation,ALL,Naive,OK,3999,0.161290,0.536739,0.884394,0.141604,0.550000,3.410000,0.660000,4.092000,0.610000,3.782000,0.541250,3.355750,0.000000,0.000000,0.000000
continuation,H10,validation,P,Logit,OK,3999,0.161290,0.631856,0.897394,0.124675,0.725000,4.495000,0.810000,5.022000,0.725000,4.495000,0.565000,3.503000,0.095118,0.930000,0.713000
continuation,H10,validation,P,LightGBM,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,validation,P,SMARTBoost,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,validation,M,Logit,OK,3999,0.161290,0.575912,0.872678,0.132147,0.725000,4.495000,0.740000,4.588000,0.657500,4.076500,0.523750,3.247250,0.039173,0.496000,0.294500
continuation,H10,validation,M,LightGBM,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,validation,M,SMARTBoost,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,validation,C,Logit,OK,3999,0.161290,0.567339,0.866618,0.124425,0.725000,4.495000,0.735000,4.557000,0.650000,4.030000,0.516250,3.200750,0.030601,0.465000,0.248000
continuation,H10,validation,C,LightGBM,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,validation,C,SMARTBoost,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,validation,ALL,Logit,OK,3999,0.161290,0.537495,0.851809,0.136472,0.675000,4.185000,0.690000,4.278000,0.632500,3.921500,0.505000,3.131000,0.000757,0.186000,0.139500
continuation,H10,validation,ALL,LightGBM,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,validation,ALL,SMARTBoost,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,test,P,Naive,OK,3999,0.208552,0.766627,0.936103,0.110774,0.750000,3.596223,0.865000,4.147644,0.860000,4.123669,0.741250,3.554267,0.000000,0.000000,0.000000
