task,horizon,period,feature_group,model,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence,comparison,metric,observed_delta,ci_low,ci_high,bootstrap_iterations,rows_used
onset,H5,validation,P,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,validation,M,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,validation,C,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,validation,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,validation,P,Logit,-0.002489,0.089263,0.580212,,,,,,,
onset,H5,validation,P,LightGBM,-0.014962,2.053058,1.696004,,,,,,,
onset,H5,validation,P,SMARTBoost,-0.014962,2.053058,1.696004,,,,,,,
onset,H5,validation,M,Logit,-0.005913,0.535580,0.714107,,,,,,,
onset,H5,validation,M,LightGBM,-0.014962,2.053058,1.696004,,,,,,,
onset,H5,validation,M,SMARTBoost,-0.014962,2.053058,1.696004,,,,,,,
onset,H5,validation,C,Logit,0.010200,1.160424,1.294319,,,,,,,
onset,H5,validation,C,LightGBM,-0.014962,2.053058,1.696004,,,,,,,
onset,H5,validation,C,SMARTBoost,-0.014962,2.053058,1.696004,,,,,,,
onset,H5,validation,ALL,Logit,0.034522,1.963795,1.740636,,,,,,,
onset,H5,validation,ALL,LightGBM,-0.014962,2.053058,1.696004,,,,,,,
onset,H5,validation,ALL,SMARTBoost,-0.014962,2.053058,1.696004,,,,,,,
onset,H5,test,P,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,test,M,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,test,C,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,test,ALL,Naive,0.000000,0.000000,0.000000,,,,,,,
onset,H5,test,P,Logit,-0.000384,-0.106925,-0.106925,,,,,,,
onset,H5,test,P,LightGBM,-0.015247,2.459278,2.352353,,,,,,,
onset,H5,test,P,SMARTBoost,-0.015247,2.459278,2.352353,,,,,,,
onset,H5,test,M,Logit,-0.006585,0.106925,0.160388,,,,,,,
onset,H5,test,M,LightGBM,-0.015247,2.459278,2.352353,,,,,,,
onset,H5,test,M,SMARTBoost,-0.015247,2.459278,2.352353,,,,,,,
onset,H5,test,C,Logit,-0.007103,0.641551,0.695013,,,,,,,
onset,H5,test,C,LightGBM,-0.015247,2.459278,2.352353,,,,,,,
onset,H5,test,C,SMARTBoost,-0.015247,2.459278,2.352353,,,,,,,
onset,H5,test,ALL,Logit,0.004525,0.855401,1.122714,,,,,,,
onset,H5,test,ALL,LightGBM,-0.015247,2.459278,2.352353,,,,,,,
onset,H5,test,ALL,SMARTBoost,-0.015247,2.459278,2.352353,,,,,,,
