feature,importance,category,share
LSI_5,0.000000,persistence,0.000000
LSI_5_lag1,0.000000,persistence,0.000000
LSI_5_lag2,0.000000,persistence,0.000000
LSI_5_lag5,0.000000,persistence,0.000000
LSI_5_rollmean_5,0.000000,persistence,0.000000
LSI_5_rollmean_10,0.000000,persistence,0.000000
LSI_5_rollmax_5,0.000000,persistence,0.000000
LSI_5_rollmax_10,0.000000,persistence,0.000000
LSI_5_rollmax_20,0.000000,persistence,0.000000
LSI_5_minus_threshold_H10,0.000000,persistence,0.000000
MarketLSI,0.000000,market,0.000000
MarketLSI_lag1,0.000000,market,0.000000
MarketLSI_rollmean_10,0.000000,market,0.000000
MarketLSI_rollmax_20,0.000000,market,0.000000
IndexRet,0.000000,market,0.000000
IndexRet_lag1,0.000000,market,0.000000
IndexRet_rollmean_10,0.000000,market,0.000000
IndexRV,0.000000,market,0.000000
IndexRV_lag1,0.000000,market,0.000000
IndexRV_rollmean_10,0.000000,market,0.000000
IndexRV_rollmax_20,0.000000,market,0.000000
MarketRelAmt,0.000000,market,0.000000
MarketRelAmt_lag1,0.000000,market,0.000000
MarketRelAmt_rollmean_10,0.000000,market,0.000000
MarketRelAmt_rollmax_20,0.000000,market,0.000000
xsec_lsi_mean,0.000000,cross,0.000000
xsec_lsi_median,0.000000,cross,0.000000
xsec_lsi_q90,0.000000,cross,0.000000
xsec_lsi_std,0.000000,cross,0.000000
xsec_lsi_skew,0.000000,cross,0.000000
xsec_stock_count,0.000000,cross,0.000000
xsec_pressure_count_H10,0.000000,cross,0.000000
xsec_pressure_breadth_H10,0.000000,cross,0.000000
xsec_pressure_breadth_H10_lag1,0.000000,cross,0.000000
xsec_pressure_breadth_H10_rollmean_10,0.000000,cross,0.000000
ILLIQ_5,0.000000,component,0.000000
Range_5,0.000000,component,0.000000
RV_5,0.000000,component,0.000000
RelAmt_5,0.000000,component,0.000000
ILLIQ_10,0.000000,component,0.000000
Range_10,0.000000,component,0.000000
RV_10,0.000000,component,0.000000
RelAmt_10,0.000000,component,0.000000
ILLIQ_20,0.000000,component,0.000000
Range_20,0.000000,component,0.000000
RV_20,0.000000,component,0.000000
RelAmt_20,0.000000,component,0.000000
z_ILLIQ_5,0.000000,component,0.000000
z_Range_5,0.000000,component,0.000000
z_RV_5,0.000000,component,0.000000
z_RelAmt_5,0.000000,component,0.000000
z_ILLIQ_10,0.000000,component,0.000000
z_Range_10,0.000000,component,0.000000
z_RV_10,0.000000,component,0.000000
z_RelAmt_10,0.000000,component,0.000000
z_ILLIQ_20,0.000000,component,0.000000
z_Range_20,0.000000,component,0.000000
z_RV_20,0.000000,component,0.000000
z_RelAmt_20,0.000000,component,0.000000
LSI_10,0.000000,component,0.000000
LSI_20,0.000000,component,0.000000
LSI_10_lag1,0.000000,component,0.000000
LSI_20_lag1,0.000000,component,0.000000
ret_1m,0.000000,other,0.000000
ret_sum_5,0.000000,other,0.000000
ret_sum_10,0.000000,other,0.000000
ret_sum_20,0.000000,other,0.000000
cum_ret_open,0.000000,other,0.000000
cum_amount_log_so_far,0.000000,other,0.000000
slot,0.000000,other,0.000000
slot_sin,0.000000,other,0.000000
slot_cos,0.000000,other,0.000000
is_open_10m,0.000000,other,0.000000
is_afternoon_open_10m,0.000000,other,0.000000
is_tail_10m,0.000000,other,0.000000
reg_stage_1,0.000000,other,0.000000
reg_stage_2,0.000000,other,0.000000
reg_stage_3,0.000000,other,0.000000
