task,horizon,period,feature_group,model,status,rows,event_rate,PR_AUC,ROC_AUC,Brier,Top1_hit_rate,Top1_lift,Top5_hit_rate,Top5_lift,Top10_hit_rate,Top10_lift,Top20_hit_rate,Top20_lift,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence
onset,H5,validation,P,Naive,OK,3999,0.056014,0.070976,0.642365,0.301656,0.050000,0.892634,0.020000,0.357054,0.025000,0.446317,0.040000,0.714107,0.000000,0.000000,0.000000
onset,H5,validation,M,Naive,OK,3999,0.056014,0.070976,0.642365,0.301656,0.050000,0.892634,0.020000,0.357054,0.025000,0.446317,0.040000,0.714107,0.000000,0.000000,0.000000
onset,H5,validation,C,Naive,OK,3999,0.056014,0.070976,0.642365,0.301656,0.050000,0.892634,0.020000,0.357054,0.025000,0.446317,0.040000,0.714107,0.000000,0.000000,0.000000
onset,H5,validation,ALL,Naive,OK,3999,0.056014,0.070976,0.642365,0.301656,0.050000,0.892634,0.020000,0.357054,0.025000,0.446317,0.040000,0.714107,0.000000,0.000000,0.000000
onset,H5,validation,P,Logit,OK,3999,0.056014,0.068487,0.573861,0.273978,0.025000,0.446317,0.025000,0.446317,0.057500,1.026529,0.085000,1.517478,-0.002489,0.089263,0.580212
onset,H5,validation,P,LightGBM,OK,3999,0.056014,0.056014,0.500000,0.250000,0.075000,1.338951,0.135000,2.410112,0.120000,2.142321,0.118750,2.120006,-0.014962,2.053058,1.696004
onset,H5,validation,P,SMARTBoost,OK,3999,0.056014,0.056014,0.500000,0.250000,0.075000,1.338951,0.135000,2.410112,0.120000,2.142321,0.118750,2.120006,-0.014962,2.053058,1.696004
onset,H5,validation,M,Logit,OK,3999,0.056014,0.065063,0.546348,0.198393,0.025000,0.446317,0.050000,0.892634,0.065000,1.160424,0.075000,1.338951,-0.005913,0.535580,0.714107
onset,H5,validation,M,LightGBM,OK,3999,0.056014,0.056014,0.500000,0.250000,0.075000,1.338951,0.135000,2.410112,0.120000,2.142321,0.118750,2.120006,-0.014962,2.053058,1.696004
onset,H5,validation,M,SMARTBoost,OK,3999,0.056014,0.056014,0.500000,0.250000,0.075000,1.338951,0.135000,2.410112,0.120000,2.142321,0.118750,2.120006,-0.014962,2.053058,1.696004
