task,horizon,period,feature_group,model,top_frac,hit_rate,lift
onset,H5,validation,P,Naive,0.010000,0.050000,0.892634
onset,H5,validation,P,Naive,0.050000,0.020000,0.357054
onset,H5,validation,P,Naive,0.100000,0.025000,0.446317
onset,H5,validation,P,Naive,0.200000,0.040000,0.714107
onset,H5,validation,M,Naive,0.010000,0.050000,0.892634
onset,H5,validation,M,Naive,0.050000,0.020000,0.357054
onset,H5,validation,M,Naive,0.100000,0.025000,0.446317
onset,H5,validation,M,Naive,0.200000,0.040000,0.714107
onset,H5,validation,C,Naive,0.010000,0.050000,0.892634
onset,H5,validation,C,Naive,0.050000,0.020000,0.357054
onset,H5,validation,C,Naive,0.100000,0.025000,0.446317
onset,H5,validation,C,Naive,0.200000,0.040000,0.714107
onset,H5,validation,ALL,Naive,0.010000,0.050000,0.892634
onset,H5,validation,ALL,Naive,0.050000,0.020000,0.357054
onset,H5,validation,ALL,Naive,0.100000,0.025000,0.446317
onset,H5,validation,ALL,Naive,0.200000,0.040000,0.714107
onset,H5,validation,P,Logit,0.010000,0.025000,0.446317
onset,H5,validation,P,Logit,0.050000,0.025000,0.446317
onset,H5,validation,P,Logit,0.100000,0.057500,1.026529
onset,H5,validation,P,Logit,0.200000,0.085000,1.517478
onset,H5,validation,P,LightGBM,0.010000,0.075000,1.338951
onset,H5,validation,P,LightGBM,0.050000,0.135000,2.410112
onset,H5,validation,P,LightGBM,0.100000,0.120000,2.142321
onset,H5,validation,P,LightGBM,0.200000,0.118750,2.120006
onset,H5,validation,P,SMARTBoost,0.010000,0.075000,1.338951
onset,H5,validation,P,SMARTBoost,0.050000,0.135000,2.410112
onset,H5,validation,P,SMARTBoost,0.100000,0.120000,2.142321
onset,H5,validation,P,SMARTBoost,0.200000,0.118750,2.120006
onset,H5,validation,M,Logit,0.010000,0.025000,0.446317
onset,H5,validation,M,Logit,0.050000,0.050000,0.892634
onset,H5,validation,M,Logit,0.100000,0.065000,1.160424
onset,H5,validation,M,Logit,0.200000,0.075000,1.338951
onset,H5,validation,M,LightGBM,0.010000,0.075000,1.338951
onset,H5,validation,M,LightGBM,0.050000,0.135000,2.410112
onset,H5,validation,M,LightGBM,0.100000,0.120000,2.142321
onset,H5,validation,M,LightGBM,0.200000,0.118750,2.120006
onset,H5,validation,M,SMARTBoost,0.010000,0.075000,1.338951
onset,H5,validation,M,SMARTBoost,0.050000,0.135000,2.410112
onset,H5,validation,M,SMARTBoost,0.100000,0.120000,2.142321
onset,H5,validation,M,SMARTBoost,0.200000,0.118750,2.120006
onset,H5,validation,C,Logit,0.010000,0.025000,0.446317
onset,H5,validation,C,Logit,0.050000,0.085000,1.517478
onset,H5,validation,C,Logit,0.100000,0.097500,1.740636
onset,H5,validation,C,Logit,0.200000,0.096250,1.718320
onset,H5,validation,C,LightGBM,0.010000,0.075000,1.338951
onset,H5,validation,C,LightGBM,0.050000,0.135000,2.410112
onset,H5,validation,C,LightGBM,0.100000,0.120000,2.142321
onset,H5,validation,C,LightGBM,0.200000,0.118750,2.120006
onset,H5,validation,C,SMARTBoost,0.010000,0.075000,1.338951
onset,H5,validation,C,SMARTBoost,0.050000,0.135000,2.410112
onset,H5,validation,C,SMARTBoost,0.100000,0.120000,2.142321
onset,H5,validation,C,SMARTBoost,0.200000,0.118750,2.120006
onset,H5,validation,ALL,Logit,0.010000,0.100000,1.785268
onset,H5,validation,ALL,Logit,0.050000,0.130000,2.320848
onset,H5,validation,ALL,Logit,0.100000,0.122500,2.186953
onset,H5,validation,ALL,Logit,0.200000,0.116250,2.075374
onset,H5,validation,ALL,LightGBM,0.010000,0.075000,1.338951
onset,H5,validation,ALL,LightGBM,0.050000,0.135000,2.410112
onset,H5,validation,ALL,LightGBM,0.100000,0.120000,2.142321
onset,H5,validation,ALL,LightGBM,0.200000,0.118750,2.120006
onset,H5,validation,ALL,SMARTBoost,0.010000,0.075000,1.338951
onset,H5,validation,ALL,SMARTBoost,0.050000,0.135000,2.410112
onset,H5,validation,ALL,SMARTBoost,0.100000,0.120000,2.142321
