figure,png,pdf,status,issues,width_px,height_px,dpi
fig_main_01_marketlsi_events,experiments/paper_material_pack/figures_main/fig_main_01_marketlsi_events.png,experiments/paper_material_pack/figures_main/fig_main_01_marketlsi_events.pdf,PASS,static_checks_ok,2151,833,"(299.9994, 299.9994)"
fig_main_02_qvar_tail_response,experiments/paper_material_pack/figures_main/fig_main_02_qvar_tail_response.png,experiments/paper_material_pack/figures_main/fig_main_02_qvar_tail_response.pdf,PASS,static_checks_ok,1911,833,"(299.9994, 299.9994)"
fig_main_03_qvar_tail_state_series,experiments/paper_material_pack/figures_main/fig_main_03_qvar_tail_state_series.png,experiments/paper_material_pack/figures_main/fig_main_03_qvar_tail_state_series.pdf,PASS,static_checks_ok,1913,1073,"(299.9994, 299.9994)"
fig_main_04_onset_pr_curve,experiments/paper_material_pack/figures_main/fig_main_04_onset_pr_curve.png,experiments/paper_material_pack/figures_main/fig_main_04_onset_pr_curve.pdf,PASS,static_checks_ok,2093,892,"(299.9994, 299.9994)"
fig_main_05_delta_pr_auc,experiments/paper_material_pack/figures_main/fig_main_05_delta_pr_auc.png,experiments/paper_material_pack/figures_main/fig_main_05_delta_pr_auc.pdf,PASS,static_checks_ok,1431,711,"(299.9994, 299.9994)"
fig_main_06_feature_group_increment,experiments/paper_material_pack/figures_main/fig_main_06_feature_group_increment.png,experiments/paper_material_pack/figures_main/fig_main_06_feature_group_increment.pdf,PASS,static_checks_ok,1613,893,"(299.9994, 299.9994)"
fig_main_07_event_level_monitoring,experiments/paper_material_pack/figures_main/fig_main_07_event_level_monitoring.png,experiments/paper_material_pack/figures_main/fig_main_07_event_level_monitoring.pdf,PASS,static_checks_ok,2031,893,"(299.9994, 299.9994)"
fig_main_08_budgeted_event_tradeoff,experiments/paper_material_pack/figures_main/fig_main_08_budgeted_event_tradeoff.png,experiments/paper_material_pack/figures_main/fig_main_08_budgeted_event_tradeoff.pdf,PASS,static_checks_ok,2091,891,"(299.9994, 299.9994)"
fig_appendix_a1_label_event_rate,experiments/paper_material_pack/figures_appendix/fig_appendix_a1_label_event_rate.png,experiments/paper_material_pack/figures_appendix/fig_appendix_a1_label_event_rate.pdf,PASS,static_checks_ok,1911,833,"(299.9994, 299.9994)"
fig_appendix_a2_topk_lift_curve,experiments/paper_material_pack/figures_appendix/fig_appendix_a2_topk_lift_curve.png,experiments/paper_material_pack/figures_appendix/fig_appendix_a2_topk_lift_curve.pdf,PASS,static_checks_ok,2091,892,"(299.9994, 299.9994)"
fig_appendix_a3_calibration_curve,experiments/paper_material_pack/figures_appendix/fig_appendix_a3_calibration_curve.png,experiments/paper_material_pack/figures_appendix/fig_appendix_a3_calibration_curve.pdf,PASS,static_checks_ok,2091,892,"(299.9994, 299.9994)"
fig_appendix_a4_qvar_diagnostics,experiments/paper_material_pack/figures_appendix/fig_appendix_a4_qvar_diagnostics.png,experiments/paper_material_pack/figures_appendix/fig_appendix_a4_qvar_diagnostics.pdf,PASS,static_checks_ok,2093,887,"(299.9994, 299.9994)"
fig_appendix_a5_rgarch_invalidity_summary,experiments/paper_material_pack/figures_appendix/fig_appendix_a5_rgarch_invalidity_summary.png,experiments/paper_material_pack/figures_appendix/fig_appendix_a5_rgarch_invalidity_summary.pdf,PASS,static_checks_ok,1671,761,"(299.9994, 299.9994)"
fig_appendix_a6_fusion_negative_result,experiments/paper_material_pack/figures_appendix/fig_appendix_a6_fusion_negative_result.png,experiments/paper_material_pack/figures_appendix/fig_appendix_a6_fusion_negative_result.pdf,PASS,static_checks_ok,2150,889,"(299.9994, 299.9994)"
