artifact_path,artifact_type,source_files,from_onset,from_qvar,from_fusion_negative_result,can_enter_main_text,suggest_appendix,needs_manual_review
experiments/paper_material_pack/outputs/derived_qvar_daily_tail_states.csv,derived_csv,experiments/econometric_ml_fusion/checkpoints/qvar_market_states.parquet,False,True,False,False,False,False
experiments/paper_material_pack/outputs/derived_prediction_score_diagnostics.csv,derived_csv,experiments/onset_baseline_check/checkpoints/predictions,True,False,False,False,False,True
experiments/paper_material_pack/tables_main/table_main_01_sample_structure.csv,main_table_csv,experiments/onset_baseline_check/outputs/cloud_run_summary.md;data/processed/onset_model_panel_full80.parquet,True,False,False,True,False,False
experiments/paper_material_pack/tables_main/table_main_01_sample_structure.md,main_table_md,experiments/paper_material_pack/tables_main/table_main_01_sample_structure.csv,True,False,False,True,False,False
experiments/paper_material_pack/tables_main/table_main_02_qvar_tail_state_summary.csv,main_table_csv,experiments/econometric_ml_fusion/outputs/qvar_parameter_history.csv;experiments/econometric_ml_fusion/outputs/qvar_feature_manifest.csv,False,True,False,True,False,False
experiments/paper_material_pack/tables_main/table_main_02_qvar_tail_state_summary.md,main_table_md,experiments/paper_material_pack/tables_main/table_main_02_qvar_tail_state_summary.csv,False,True,False,True,False,False
experiments/paper_material_pack/tables_main/table_main_03_onset_ml_main_result.csv,main_table_csv,experiments/onset_baseline_check/outputs/model_comparison_summary.csv;experiments/onset_baseline_check/outputs/delta_vs_persistence.csv;experiments/onset_baseline_check/checkpoints/predictions,True,False,False,True,False,True
experiments/paper_material_pack/tables_main/table_main_03_onset_ml_main_result.md,main_table_md,experiments/paper_material_pack/tables_main/table_main_03_onset_ml_main_result.csv,True,False,False,True,False,True
experiments/paper_material_pack/tables_main/table_main_04_feature_group_increment.csv,main_table_csv,experiments/onset_baseline_check/outputs/model_comparison_summary.csv;experiments/onset_baseline_check/outputs/delta_vs_persistence.csv,True,False,False,True,False,False
experiments/paper_material_pack/tables_main/table_main_04_feature_group_increment.md,main_table_md,experiments/paper_material_pack/tables_main/table_main_04_feature_group_increment.csv,True,False,False,True,False,False
experiments/paper_material_pack/tables_main/table_main_05_event_level_monitoring.csv,main_table_csv,experiments/onset_baseline_check/outputs/event_level_metrics_revised.csv;experiments/onset_baseline_check/outputs/budgeted_event_metrics.csv,True,False,False,True,False,False
experiments/paper_material_pack/tables_main/table_main_05_event_level_monitoring.md,main_table_md,experiments/paper_material_pack/tables_main/table_main_05_event_level_monitoring.csv,True,False,False,True,False,False
experiments/paper_material_pack/tables_main/table_main_06_qvar_ml_boundary.csv,main_table_csv,experiments/econometric_ml_fusion/outputs/paper_optimization_decision.md;experiments/onset_baseline_check/outputs/cloud_ml_effectiveness_result_digest.md,True,True,True,True,False,False
experiments/paper_material_pack/tables_main/table_main_06_qvar_ml_boundary.md,main_table_md,experiments/paper_material_pack/tables_main/table_main_06_qvar_ml_boundary.csv,True,True,True,True,False,False
experiments/paper_material_pack/tables_appendix/appendix_table_a1_full_model_comparison.csv,appendix_table_csv,experiments/onset_baseline_check/outputs/model_comparison_summary.csv,True,False,False,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a1_full_model_comparison.md,appendix_table_md,experiments/paper_material_pack/tables_appendix/appendix_table_a1_full_model_comparison.csv,True,False,False,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a2_topk_lift.csv,appendix_table_csv,experiments/onset_baseline_check/outputs/topk_lift_table.csv,True,False,False,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a2_topk_lift.md,appendix_table_md,experiments/paper_material_pack/tables_appendix/appendix_table_a2_topk_lift.csv,True,False,False,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a3_delta_vs_persistence.csv,appendix_table_csv,experiments/onset_baseline_check/outputs/delta_vs_persistence.csv,True,False,False,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a3_delta_vs_persistence.md,appendix_table_md,experiments/paper_material_pack/tables_appendix/appendix_table_a3_delta_vs_persistence.csv,True,False,False,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a4_qvar_diagnostics.csv,appendix_table_csv,experiments/econometric_ml_fusion/outputs/qvar_state_diagnostics.csv;experiments/econometric_ml_fusion/outputs/qvar_feature_manifest.csv,False,True,False,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a4_qvar_diagnostics.md,appendix_table_md,experiments/paper_material_pack/tables_appendix/appendix_table_a4_qvar_diagnostics.csv,False,True,False,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a5_rgarch_removed_diagnostics.csv,appendix_table_csv,experiments/econometric_ml_fusion/outputs/rgarch_state_diagnostics.csv;experiments/econometric_ml_fusion/outputs/rgarch_validity_decision.md,False,False,True,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a5_rgarch_removed_diagnostics.md,appendix_table_md,experiments/paper_material_pack/tables_appendix/appendix_table_a5_rgarch_removed_diagnostics.csv,False,False,True,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a6_fusion_negative_result.csv,appendix_table_csv,experiments/econometric_ml_fusion/outputs/lockbox_incremental_metrics.csv;experiments/econometric_ml_fusion/outputs/model_ranking.csv,False,False,True,False,True,False
experiments/paper_material_pack/tables_appendix/appendix_table_a6_fusion_negative_result.md,appendix_table_md,experiments/paper_material_pack/tables_appendix/appendix_table_a6_fusion_negative_result.csv,False,False,True,False,True,False
experiments/paper_material_pack/writing_notes/new_paper_logic.md,writing_note_md,experiments/onset_baseline_check/outputs/cloud_ml_effectiveness_result_digest.md;experiments/econometric_ml_fusion/outputs/paper_optimization_decision.md,True,True,True,True,False,False
experiments/paper_material_pack/writing_notes/paper_structure_revision_plan.md,writing_note_md,experiments/onset_baseline_check/outputs/cloud_ml_effectiveness_result_digest.md;experiments/econometric_ml_fusion/outputs/paper_optimization_decision.md,True,True,True,True,False,False
experiments/paper_material_pack/writing_notes/claims_allowed_disallowed.md,writing_note_md,experiments/onset_baseline_check/outputs/cloud_ml_effectiveness_result_digest.md;experiments/econometric_ml_fusion/outputs/paper_optimization_decision.md,True,True,True,True,False,False
experiments/paper_material_pack/writing_notes/abstract_intro_material.md,writing_note_md,experiments/onset_baseline_check/outputs/cloud_ml_effectiveness_result_digest.md;experiments/econometric_ml_fusion/outputs/paper_optimization_decision.md,True,True,True,True,False,True
experiments/paper_material_pack/README.md,readme_md,experiments/paper_material_pack/writing_notes/new_paper_logic.md,False,False,False,True,False,False
experiments/paper_material_pack/handoff_paper_material_pack.md,handoff_md,experiments/paper_material_pack/README.md,False,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_01_marketlsi_events.png,main_figure_png,experiments/paper_material_pack/outputs/derived_full80_daily_marketlsi_event_rate.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_01_marketlsi_events.pdf,main_figure_pdf,experiments/paper_material_pack/outputs/derived_full80_daily_marketlsi_event_rate.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_02_qvar_tail_response.png,main_figure_png,experiments/paper_material_pack/outputs/derived_qvar_daily_tail_states.csv,False,True,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_02_qvar_tail_response.pdf,main_figure_pdf,experiments/paper_material_pack/outputs/derived_qvar_daily_tail_states.csv,False,True,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_03_qvar_tail_state_series.png,main_figure_png,experiments/paper_material_pack/outputs/derived_qvar_daily_tail_states.csv,False,True,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_03_qvar_tail_state_series.pdf,main_figure_pdf,experiments/paper_material_pack/outputs/derived_qvar_daily_tail_states.csv,False,True,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_04_onset_pr_curve.png,main_figure_png,experiments/onset_baseline_check/checkpoints/predictions,True,False,False,True,False,True
experiments/paper_material_pack/figures_main/fig_main_04_onset_pr_curve.pdf,main_figure_pdf,experiments/onset_baseline_check/checkpoints/predictions,True,False,False,True,False,True
experiments/paper_material_pack/figures_main/fig_main_05_delta_pr_auc.png,main_figure_png,experiments/onset_baseline_check/outputs/delta_vs_persistence.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_05_delta_pr_auc.pdf,main_figure_pdf,experiments/onset_baseline_check/outputs/delta_vs_persistence.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_06_feature_group_increment.png,main_figure_png,experiments/onset_baseline_check/outputs/model_comparison_summary.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_06_feature_group_increment.pdf,main_figure_pdf,experiments/onset_baseline_check/outputs/model_comparison_summary.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_07_event_level_monitoring.png,main_figure_png,experiments/onset_baseline_check/outputs/event_level_metrics_revised.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_07_event_level_monitoring.pdf,main_figure_pdf,experiments/onset_baseline_check/outputs/event_level_metrics_revised.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_08_budgeted_event_tradeoff.png,main_figure_png,experiments/onset_baseline_check/outputs/budgeted_event_metrics.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_main/fig_main_08_budgeted_event_tradeoff.pdf,main_figure_pdf,experiments/onset_baseline_check/outputs/budgeted_event_metrics.csv,True,False,False,True,False,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a1_label_event_rate.png,appendix_figure_png,experiments/paper_material_pack/outputs/derived_full80_daily_marketlsi_event_rate.csv,True,False,False,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a1_label_event_rate.pdf,appendix_figure_pdf,experiments/paper_material_pack/outputs/derived_full80_daily_marketlsi_event_rate.csv,True,False,False,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a2_topk_lift_curve.png,appendix_figure_png,experiments/onset_baseline_check/outputs/topk_lift_table.csv,True,False,False,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a2_topk_lift_curve.pdf,appendix_figure_pdf,experiments/onset_baseline_check/outputs/topk_lift_table.csv,True,False,False,False,True,False
experiments/paper_material_pack/outputs/derived_calibration_bins.csv,derived_csv,experiments/onset_baseline_check/checkpoints/predictions,True,False,False,False,True,True
experiments/paper_material_pack/figures_appendix/fig_appendix_a3_calibration_curve.png,appendix_figure_png,experiments/paper_material_pack/outputs/derived_calibration_bins.csv,True,False,False,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a3_calibration_curve.pdf,appendix_figure_pdf,experiments/paper_material_pack/outputs/derived_calibration_bins.csv,True,False,False,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a4_qvar_diagnostics.png,appendix_figure_png,experiments/econometric_ml_fusion/checkpoints/qvar_market_states.parquet,False,True,False,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a4_qvar_diagnostics.pdf,appendix_figure_pdf,experiments/econometric_ml_fusion/checkpoints/qvar_market_states.parquet,False,True,False,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a5_rgarch_invalidity_summary.png,appendix_figure_png,experiments/econometric_ml_fusion/outputs/rgarch_state_diagnostics.csv,False,False,True,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a5_rgarch_invalidity_summary.pdf,appendix_figure_pdf,experiments/econometric_ml_fusion/outputs/rgarch_state_diagnostics.csv,False,False,True,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a6_fusion_negative_result.png,appendix_figure_png,experiments/econometric_ml_fusion/outputs/lockbox_incremental_metrics.csv,False,False,True,False,True,False
experiments/paper_material_pack/figures_appendix/fig_appendix_a6_fusion_negative_result.pdf,appendix_figure_pdf,experiments/econometric_ml_fusion/outputs/lockbox_incremental_metrics.csv,False,False,True,False,True,False
experiments/paper_material_pack/figures_main/captions.md,main_caption_md,experiments/paper_material_pack/figures_main,True,True,False,True,False,False
experiments/paper_material_pack/figures_appendix/captions.md,appendix_caption_md,experiments/paper_material_pack/figures_appendix,True,True,True,False,True,False
