task,horizon,period,feature_group,model,top_frac,hit_rate,lift
onset,H5,validation,P,Naive,0.01,0.017078,0.609129
onset,H5,validation,P,Naive,0.05,0.034655,1.2361
onset,H5,validation,P,Naive,0.1,0.04369,1.558345
onset,H5,validation,P,Naive,0.2,0.06517,2.324521
onset,H5,validation,M,Naive,0.01,0.017078,0.609129
onset,H5,validation,M,Naive,0.05,0.034655,1.2361
onset,H5,validation,M,Naive,0.1,0.04369,1.558345
onset,H5,validation,M,Naive,0.2,0.06517,2.324521
onset,H5,validation,C,Naive,0.01,0.017078,0.609129
onset,H5,validation,C,Naive,0.05,0.034655,1.2361
onset,H5,validation,C,Naive,0.1,0.04369,1.558345
onset,H5,validation,C,Naive,0.2,0.06517,2.324521
onset,H5,validation,ALL,Naive,0.01,0.017078,0.609129
onset,H5,validation,ALL,Naive,0.05,0.034655,1.2361
onset,H5,validation,ALL,Naive,0.1,0.04369,1.558345
onset,H5,validation,ALL,Naive,0.2,0.06517,2.324521
onset,H5,validation,P,Logit,0.01,0.058973,2.103468
onset,H5,validation,P,Logit,0.05,0.089894,3.206381
onset,H5,validation,P,Logit,0.1,0.076019,2.711473
onset,H5,validation,P,Logit,0.2,0.057553,2.052818
onset,H5,validation,P,LightGBM,0.01,0.211483,7.54327
onset,H5,validation,P,LightGBM,0.05,0.147099,5.246778
onset,H5,validation,P,LightGBM,0.1,0.116666,4.161283
onset,H5,validation,P,LightGBM,0.2,0.085246,3.04059
onset,H5,validation,P,SMARTBoost,0.01,0.216152,7.709795
onset,H5,validation,P,SMARTBoost,0.05,0.148934,5.31222
onset,H5,validation,P,SMARTBoost,0.1,0.117997,4.208758
onset,H5,validation,P,SMARTBoost,0.2,0.085451,3.047894
onset,H5,validation,M,Logit,0.01,0.051519,1.837613
onset,H5,validation,M,Logit,0.05,0.078656,2.805546
onset,H5,validation,M,Logit,0.1,0.069028,2.46212
onset,H5,validation,M,Logit,0.2,0.05427,1.935738
onset,H5,validation,M,LightGBM,0.01,0.22295,7.952278
onset,H5,validation,M,LightGBM,0.05,0.149228,5.322738
onset,H5,validation,M,LightGBM,0.1,0.116502,4.15544
onset,H5,validation,M,LightGBM,0.2,0.085924,3.064766
onset,H5,validation,M,SMARTBoost,0.01,0.213121,7.6017
onset,H5,validation,M,SMARTBoost,0.05,0.149433,5.330042
onset,H5,validation,M,SMARTBoost,0.1,0.117571,4.193566
onset,H5,validation,M,SMARTBoost,0.2,0.085447,3.047748
onset,H5,validation,C,Logit,0.01,0.058809,2.097625
onset,H5,validation,C,Logit,0.05,0.077534,2.765521
onset,H5,validation,C,Logit,0.1,0.068066,2.427792
onset,H5,validation,C,Logit,0.2,0.053451,1.906522
onset,H5,validation,C,LightGBM,0.01,0.226145,8.066216
onset,H5,validation,C,LightGBM,0.05,0.150981,5.385259
onset,H5,validation,C,LightGBM,0.1,0.11674,4.163912
onset,H5,validation,C,LightGBM,0.2,0.085287,3.042051
onset,H5,validation,C,SMARTBoost,0.01,0.217831,7.769685
onset,H5,validation,C,SMARTBoost,0.05,0.150015,5.350784
onset,H5,validation,C,SMARTBoost,0.1,0.117641,4.196049
onset,H5,validation,C,SMARTBoost,0.2,0.085572,3.052203
onset,H5,validation,ALL,Logit,0.01,0.111803,3.987825
onset,H5,validation,ALL,Logit,0.05,0.107185,3.823116
onset,H5,validation,ALL,Logit,0.1,0.089706,3.199661
onset,H5,validation,ALL,Logit,0.2,0.069505,2.479143
onset,H5,validation,ALL,LightGBM,0.01,0.257924,9.199751
onset,H5,validation,ALL,LightGBM,0.05,0.181189,6.462719
onset,H5,validation,ALL,LightGBM,0.1,0.142201,5.07207
onset,H5,validation,ALL,LightGBM,0.2,0.099189,3.537909
onset,H5,validation,ALL,SMARTBoost,0.01,0.248915,8.878388
onset,H5,validation,ALL,SMARTBoost,0.05,0.176029,6.278663
onset,H5,validation,ALL,SMARTBoost,0.1,0.138597,4.943523
onset,H5,validation,ALL,SMARTBoost,0.2,0.098089,3.498687
onset,H5,test,P,Naive,0.01,0.016264,0.566323
onset,H5,test,P,Naive,0.05,0.029564,1.029478
onset,H5,test,P,Naive,0.1,0.039773,1.384951
onset,H5,test,P,Naive,0.2,0.062138,2.163748
onset,H5,test,M,Naive,0.01,0.016264,0.566323
onset,H5,test,M,Naive,0.05,0.029564,1.029478
onset,H5,test,M,Naive,0.1,0.039773,1.384951
onset,H5,test,M,Naive,0.2,0.062138,2.163748
onset,H5,test,C,Naive,0.01,0.016264,0.566323
onset,H5,test,C,Naive,0.05,0.029564,1.029478
onset,H5,test,C,Naive,0.1,0.039773,1.384951
onset,H5,test,C,Naive,0.2,0.062138,2.163748
onset,H5,test,ALL,Naive,0.01,0.016264,0.566323
onset,H5,test,ALL,Naive,0.05,0.029564,1.029478
onset,H5,test,ALL,Naive,0.1,0.039773,1.384951
onset,H5,test,ALL,Naive,0.2,0.062138,2.163748
onset,H5,test,P,Logit,0.01,0.023776,0.827925
onset,H5,test,P,Logit,0.05,0.076928,2.678769
onset,H5,test,P,Logit,0.1,0.070629,2.45942
onset,H5,test,P,Logit,0.2,0.057042,1.986298
onset,H5,test,P,LightGBM,0.01,0.213036,7.418262
onset,H5,test,P,LightGBM,0.05,0.145237,5.057406
onset,H5,test,P,LightGBM,0.1,0.114715,3.99458
onset,H5,test,P,LightGBM,0.2,0.084198,2.931904
onset,H5,test,P,SMARTBoost,0.01,0.216297,7.531814
onset,H5,test,P,SMARTBoost,0.05,0.14508,5.051944
onset,H5,test,P,SMARTBoost,0.1,0.115409,4.018729
onset,H5,test,P,SMARTBoost,0.2,0.084431,2.940026
onset,H5,test,M,Logit,0.01,0.031371,1.0924
onset,H5,test,M,Logit,0.05,0.062811,2.187173
onset,H5,test,M,Logit,0.1,0.059665,2.077642
onset,H5,test,M,Logit,0.2,0.050476,1.757677
onset,H5,test,M,LightGBM,0.01,0.188351,6.558715
onset,H5,test,M,LightGBM,0.05,0.141761,4.936376
onset,H5,test,M,LightGBM,0.1,0.113324,3.94614
onset,H5,test,M,LightGBM,0.2,0.082974,2.889285
onset,H5,test,M,SMARTBoost,0.01,0.180839,6.297114
onset,H5,test,M,SMARTBoost,0.05,0.140919,4.907052
onset,H5,test,M,SMARTBoost,0.1,0.1132,3.941827
onset,H5,test,M,SMARTBoost,0.2,0.083126,2.894603
onset,H5,test,C,Logit,0.01,0.046562,1.621352
onset,H5,test,C,Logit,0.05,0.061663,2.147213
onset,H5,test,C,Logit,0.1,0.057609,2.006058
onset,H5,test,C,Logit,0.2,0.049444,1.721741
onset,H5,test,C,LightGBM,0.01,0.187773,6.538592
onset,H5,test,C,LightGBM,0.05,0.141126,4.91424
onset,H5,test,C,LightGBM,0.1,0.113357,3.947289
onset,H5,test,C,LightGBM,0.2,0.083386,2.903659
onset,H5,test,C,SMARTBoost,0.01,0.183192,6.379044
onset,H5,test,C,SMARTBoost,0.05,0.139186,4.846681
onset,H5,test,C,SMARTBoost,0.1,0.11266,3.922997
onset,H5,test,C,SMARTBoost,0.2,0.083252,2.898988
onset,H5,test,ALL,Logit,0.01,0.119871,4.17412
onset,H5,test,ALL,Logit,0.05,0.105279,3.665987
onset,H5,test,ALL,Logit,0.1,0.088639,3.086564
onset,H5,test,ALL,Logit,0.2,0.06929,2.41278
onset,H5,test,ALL,LightGBM,0.01,0.23966,8.345365
onset,H5,test,ALL,LightGBM,0.05,0.172399,6.003226
onset,H5,test,ALL,LightGBM,0.1,0.139314,4.851137
onset,H5,test,ALL,LightGBM,0.2,0.10448,3.638181
onset,H5,test,ALL,SMARTBoost,0.01,0.225047,7.836536
onset,H5,test,ALL,SMARTBoost,0.05,0.169724,5.910082
onset,H5,test,ALL,SMARTBoost,0.1,0.134798,4.693884
onset,H5,test,ALL,SMARTBoost,0.2,0.101843,3.546329
onset,H10,validation,P,Naive,0.01,0.02505,0.748879
onset,H10,validation,P,Naive,0.05,0.051182,1.530114
onset,H10,validation,P,Naive,0.1,0.0818,2.445465
onset,H10,validation,P,Naive,0.2,0.087595,2.618739
onset,H10,validation,M,Naive,0.01,0.02505,0.748879
onset,H10,validation,M,Naive,0.05,0.051182,1.530114
onset,H10,validation,M,Naive,0.1,0.0818,2.445465
onset,H10,validation,M,Naive,0.2,0.087595,2.618739
onset,H10,validation,C,Naive,0.01,0.02505,0.748879
onset,H10,validation,C,Naive,0.05,0.051182,1.530114
onset,H10,validation,C,Naive,0.1,0.0818,2.445465
onset,H10,validation,C,Naive,0.2,0.087595,2.618739
onset,H10,validation,ALL,Naive,0.01,0.02505,0.748879
onset,H10,validation,ALL,Naive,0.05,0.051182,1.530114
onset,H10,validation,ALL,Naive,0.1,0.0818,2.445465
onset,H10,validation,ALL,Naive,0.2,0.087595,2.618739
onset,H10,validation,P,Logit,0.01,0.059519,1.779378
onset,H10,validation,P,Logit,0.05,0.113743,3.40045
onset,H10,validation,P,Logit,0.1,0.097848,2.925238
onset,H10,validation,P,Logit,0.2,0.075624,2.260835
onset,H10,validation,P,LightGBM,0.01,0.262662,7.8525
onset,H10,validation,P,LightGBM,0.05,0.184678,5.52109
onset,H10,validation,P,LightGBM,0.1,0.142693,4.265925
onset,H10,validation,P,LightGBM,0.2,0.102879,3.075655
onset,H10,validation,P,SMARTBoost,0.01,0.266506,7.967421
onset,H10,validation,P,SMARTBoost,0.05,0.188074,5.622626
onset,H10,validation,P,SMARTBoost,0.1,0.143648,4.294466
onset,H10,validation,P,SMARTBoost,0.2,0.103409,3.091504
onset,H10,validation,M,Logit,0.01,0.077514,2.317359
onset,H10,validation,M,Logit,0.05,0.108294,3.237538
onset,H10,validation,M,Logit,0.1,0.093024,2.781016
onset,H10,validation,M,Logit,0.2,0.07198,2.15191
onset,H10,validation,M,LightGBM,0.01,0.261437,7.815877
onset,H10,validation,M,LightGBM,0.05,0.184568,5.517807
onset,H10,validation,M,LightGBM,0.1,0.144543,4.321239
onset,H10,validation,M,LightGBM,0.2,0.103177,3.084558
onset,H10,validation,M,SMARTBoost,0.01,0.261691,7.823454
onset,H10,validation,M,SMARTBoost,0.05,0.18494,5.52892
onset,H10,validation,M,SMARTBoost,0.1,0.143166,4.280069
onset,H10,validation,M,SMARTBoost,0.2,0.103781,3.102618
onset,H10,validation,C,Logit,0.01,0.090314,2.700007
onset,H10,validation,C,Logit,0.05,0.108767,3.251682
onset,H10,validation,C,Logit,0.1,0.091972,2.74957
onset,H10,validation,C,Logit,0.2,0.070757,2.115349
onset,H10,validation,C,LightGBM,0.01,0.263296,7.871443
onset,H10,validation,C,LightGBM,0.05,0.18826,5.628183
onset,H10,validation,C,LightGBM,0.1,0.144336,4.315051
onset,H10,validation,C,LightGBM,0.2,0.103232,3.0862
onset,H10,validation,C,SMARTBoost,0.01,0.258311,7.722425
onset,H10,validation,C,SMARTBoost,0.05,0.186519,5.576152
onset,H10,validation,C,SMARTBoost,0.1,0.14358,4.292445
onset,H10,validation,C,SMARTBoost,0.2,0.103975,3.108427
onset,H10,validation,ALL,Logit,0.01,0.135513,4.051274
onset,H10,validation,ALL,Logit,0.05,0.124574,3.724254
onset,H10,validation,ALL,Logit,0.1,0.107424,3.211536
onset,H10,validation,ALL,Logit,0.2,0.084947,2.539556
onset,H10,validation,ALL,LightGBM,0.01,0.323998,9.686181
onset,H10,validation,ALL,LightGBM,0.05,0.223888,6.693302
onset,H10,validation,ALL,LightGBM,0.1,0.166598,4.980596
onset,H10,validation,ALL,LightGBM,0.2,0.117618,3.516279
onset,H10,validation,ALL,SMARTBoost,0.01,0.30765,9.197452
onset,H10,validation,ALL,SMARTBoost,0.05,0.217416,6.499828
onset,H10,validation,ALL,SMARTBoost,0.1,0.165073,4.935005
onset,H10,validation,ALL,SMARTBoost,0.2,0.115377,3.449283
onset,H10,test,P,Naive,0.01,0.023665,0.683848
onset,H10,test,P,Naive,0.05,0.044785,1.294138
onset,H10,test,P,Naive,0.1,0.068924,1.991701
onset,H10,test,P,Naive,0.2,0.085704,2.476573
onset,H10,test,M,Naive,0.01,0.023665,0.683848
onset,H10,test,M,Naive,0.05,0.044785,1.294138
onset,H10,test,M,Naive,0.1,0.068924,1.991701
onset,H10,test,M,Naive,0.2,0.085704,2.476573
onset,H10,test,C,Naive,0.01,0.023665,0.683848
onset,H10,test,C,Naive,0.05,0.044785,1.294138
onset,H10,test,C,Naive,0.1,0.068924,1.991701
onset,H10,test,C,Naive,0.2,0.085704,2.476573
onset,H10,test,ALL,Naive,0.01,0.023665,0.683848
onset,H10,test,ALL,Naive,0.05,0.044785,1.294138
onset,H10,test,ALL,Naive,0.1,0.068924,1.991701
onset,H10,test,ALL,Naive,0.2,0.085704,2.476573
onset,H10,test,P,Logit,0.01,0.024904,0.719645
onset,H10,test,P,Logit,0.05,0.102077,2.949705
onset,H10,test,P,Logit,0.1,0.094768,2.738512
onset,H10,test,P,Logit,0.2,0.075471,2.180873
onset,H10,test,P,LightGBM,0.01,0.282401,8.160502
onset,H10,test,P,LightGBM,0.05,0.188921,5.459226
onset,H10,test,P,LightGBM,0.1,0.145175,4.195102
onset,H10,test,P,LightGBM,0.2,0.102962,2.97527
onset,H10,test,P,SMARTBoost,0.01,0.283597,8.195064
onset,H10,test,P,SMARTBoost,0.05,0.189169,5.466385
onset,H10,test,P,SMARTBoost,0.1,0.14573,4.211149
onset,H10,test,P,SMARTBoost,0.2,0.103286,2.984651
onset,H10,test,M,Logit,0.01,0.035583,1.02824
onset,H10,test,M,Logit,0.05,0.089219,2.578153
onset,H10,test,M,Logit,0.1,0.082585,2.386462
onset,H10,test,M,Logit,0.2,0.067671,1.955472
onset,H10,test,M,LightGBM,0.01,0.272106,7.863015
onset,H10,test,M,LightGBM,0.05,0.184043,5.318258
onset,H10,test,M,LightGBM,0.1,0.141723,4.095363
onset,H10,test,M,LightGBM,0.2,0.101629,2.936757
onset,H10,test,M,SMARTBoost,0.01,0.275822,7.970407
onset,H10,test,M,SMARTBoost,0.05,0.185691,5.365906
onset,H10,test,M,SMARTBoost,0.1,0.141937,4.101535
onset,H10,test,M,SMARTBoost,0.2,0.101712,2.939164
onset,H10,test,C,Logit,0.01,0.051346,1.483728
onset,H10,test,C,Logit,0.05,0.09068,2.620369
onset,H10,test,C,Logit,0.1,0.082116,2.372884
onset,H10,test,C,Logit,0.2,0.066906,1.933376
onset,H10,test,C,LightGBM,0.01,0.276207,7.981516
onset,H10,test,C,LightGBM,0.05,0.183778,5.310605
onset,H10,test,C,LightGBM,0.1,0.141185,4.079809
onset,H10,test,C,LightGBM,0.2,0.102092,2.95015
