period,slot,sum,count,mean_lsi_5
test,6,-4726.957289756879,11590,-0.4078479111093079
test,7,-7293.507560340544,11590,-0.6292931458447406
test,8,-8463.620551931006,11590,-0.7302519889500436
test,9,-8547.272545414646,11590,-0.7374695897683042
test,10,-8565.572558876536,11590,-0.7390485382982344
test,11,-8285.506578032095,11590,-0.7148840878371091
test,12,-8456.229253818738,11590,-0.7296142583105036
test,13,-9163.471858348146,11590,-0.7906360533518677
test,14,-9228.697601358444,11590,-0.79626381374965
test,15,-9338.718701621034,11590,-0.8057565747731694
test,16,-9461.227339065355,11590,-0.8163267764508504
test,17,-9153.486476347776,11590,-0.7897745018419134
test,18,-10060.522464352234,11590,-0.8680347251382429
test,19,-10328.342114648878,11590,-0.8911425465615943
test,20,-9582.759445839358,11590,-0.8268127218153026
test,21,-9862.274310826117,11590,-0.8509296212964725
test,22,-10108.755673599517,11590,-0.872196348024117
test,23,-9593.33496688224,11590,-0.8277251912754305
test,24,-9930.747798268305,11590,-0.8568376012310875
test,25,-10349.815174255426,11590,-0.8929952695647476
test,26,-10532.08547721007,11590,-0.9087217840560888
test,27,-10270.985599356381,11590,-0.8861937531800157
test,28,-9756.838978420696,11590,-0.8418325261795251
test,29,-9743.643913451499,11590,-0.8406940391243743
test,30,-9890.181366339655,11590,-0.8533374776824552
test,31,-10266.573606157248,11590,-0.8858130807728428
test,32,-10552.918740407422,11590,-0.9105193046080605
test,33,-10869.204461022195,11590,-0.9378088404678339
test,34,-10716.35768380024,11590,-0.9246210253494598
test,35,-10030.093396490187,11590,-0.8654092663063147
test,36,-9154.207637546568,11590,-0.7898367245510413
test,37,-8151.133907152609,11590,-0.7032902422047117
test,38,-8401.089807959568,11590,-0.7248567565107479
test,39,-8053.900963496534,11590,-0.694900859663204
test,40,-8420.134893421564,11590,-0.7264999908042764
test,41,-8743.158984654485,11590,-0.7543709218856328
test,42,-9496.739223398947,11590,-0.8193907871785113
test,43,-9276.90690296508,11590,-0.8004233738537602
test,44,-9392.41276943261,11590,-0.8103893675092848
test,45,-9430.404802425872,11590,-0.8136673686303599
test,46,-9124.094011342382,11590,-0.7872384824281606
test,47,-9119.526955796186,11590,-0.7868444310436743
test,48,-9470.805697404074,11590,-0.8171532094395232
test,49,-9500.54601425585,11590,-0.8197192419547756
test,50,-8911.236531393932,11590,-0.7688728672471037
test,51,-9102.915367609457,11590,-0.7854111620025416
test,52,-8786.936834728976,11590,-0.7581481306927503
test,53,-8298.694198907993,11590,-0.7160219326063842
test,54,-8148.658121580014,11590,-0.703076628264022
test,55,-8115.317540596779,11590,-0.7001999603621034
test,56,-7861.285620019051,11590,-0.6782817618653193
test,57,-8160.855512721085,11590,-0.7041290347472895
test,58,-8110.533575726253,11590,-0.6997871937641288
test,59,-7927.14394704479,11590,-0.6839641024197404
test,60,-7829.553488222945,11590,-0.6755438730131963
test,61,-8284.298529636611,11590,-0.7147798558789138
test,62,-8035.209107074676,11590,-0.6932881024223189
test,63,-8008.360069520002,11590,-0.6909715331768768
test,64,-7776.674907945274,11590,-0.6709814415828537
test,65,-7712.294433062677,11590,-0.6654266119985054
test,66,-6853.1897227602885,11590,-0.5913019605487738
test,67,-6906.606496522568,11590,-0.5959108280002215
test,68,-6448.913651221481,11590,-0.5564205048508611
test,69,-6764.8969698340225,11590,-0.5836839490797259
test,70,-6448.5755471849125,11590,-0.5563913328028397
test,71,-6810.792041546101,11590,-0.5876438344733478
test,72,-6537.084236927105,11590,-0.5640279755761092
test,73,-7134.925070928386,11590,-0.6156104461543043
test,74,-6510.032836835675,11590,-0.5616939462325863
test,75,-6146.828412424394,11590,-0.5303562046958061
test,76,-6173.198138774613,11590,-0.5326314183584653
test,77,-6938.794680636295,11590,-0.5986880656286708
test,78,-6850.635764742957,11590,-0.5910816017897288
test,79,-6917.692186651469,11590,-0.5968673155005582
test,80,-7330.398568119008,11590,-0.6324761491043147
test,81,-7452.0365602335505,11590,-0.6429712303911606
test,82,-7325.616249736253,11590,-0.6320635245674076
test,83,-7077.298103420885,11590,-0.6106383178102576
test,84,-7479.555910527364,11590,-0.6453456350757001
test,85,-7737.119306569196,11590,-0.6675685337850903
test,86,-7421.91748712446,11590,-0.6403725183023693
test,87,-7798.751435418483,11590,-0.6728862325641487
test,88,-7629.237780893923,11590,-0.6582603779891218
test,89,-8169.782790311034,11590,-0.7048992916575525
test,90,-8385.129590992125,11590,-0.723479688610192
test,91,-8537.93874496261,11590,-0.7366642575463856
test,92,-8115.908222727488,11590,-0.7002509251706202
test,93,-8301.67254473946,11590,-0.7162789080879604
test,94,-7646.807664450604,11590,-0.6597763299784818
test,95,-6913.417756099325,11590,-0.5964985121742299
test,96,-6296.843739941908,11590,-0.5432997187180248
test,97,-7059.233025908132,11590,-0.6090796398540235
test,98,-7903.062556819442,11590,-0.6818863293200553
test,99,-8217.637226000701,11590,-0.7090282334771959
test,100,-8829.498906586068,11590,-0.7618204406027669
test,101,-8971.788944248276,11590,-0.7740974067513612
test,102,-9081.829016674985,11590,-0.7835918047174275
test,103,-8571.922307799525,11590,-0.7395964027437036
test,104,-8274.022507283917,11590,-0.713893227548224
test,105,-7834.193949137043,11590,-0.6759442579065611
test,106,-8348.24178256646,11590,-0.7202969613948628
test,107,-7987.245168011774,11590,-0.689149712511801
test,108,-7606.810023978847,11590,-0.6563252824830756
test,109,-7250.3094830641085,11590,-0.6255659605749878
test,110,-7326.356349928619,11590,-0.6321273813570853
test,111,-6813.824320190702,11590,-0.5879054633469113
test,112,-7324.144203376816,11589,-0.631991043522031
test,113,-7371.618511856232,11590,-0.6360326584863013
test,114,-7181.916359387419,11590,-0.6196649145286816
test,115,-7153.205889954427,11590,-0.6171877385637987
test,116,-7560.7230521517695,11590,-0.6523488397024823
test,117,-7348.486488119824,11590,-0.6340367979395879
test,118,-7677.211142788625,11590,-0.6623995809136001
test,119,-7704.411839283034,11589,-0.6648038518666869
test,120,-8017.976805351121,11590,-0.6918012774246006
test,121,16080.45181280533,3334,4.823170909659667
test,122,147017.25117863825,11590,12.684836167268184
test,123,156139.63275689585,11590,13.471926898783076
test,124,163318.13060366357,11590,14.091296859677616
test,125,167683.62955524257,11590,14.46795768380005
test,126,1876.1577715379967,11590,0.16187728831216538
test,127,-2686.026839472949,11590,-0.23175382566634592
test,128,-4347.396215685013,11590,-0.3750988969529778
test,129,-5146.934193150085,11590,-0.4440840546289978
test,130,-4791.950891748037,11590,-0.4134556420835235
test,131,-4683.093391573311,11590,-0.40406327796145913
test,132,-5344.682524662728,11590,-0.46114603318919134
test,133,-5390.427197407032,11590,-0.4650929419678198
test,134,-4926.853214485629,11590,-0.425095186754584
test,135,-5962.302472158557,11590,-0.5144350709368901
test,136,-5378.4865593948125,11590,-0.4640626884723738
test,137,-4845.471661910263,11590,-0.41807348247715814
test,138,-5035.744520651619,11590,-0.4344904677007436
test,139,-5768.390728145842,11590,-0.49770411804537035
test,140,-5618.54898053346,11590,-0.48477558071902155
