model,measure,parameter,estimate,optimizer_success,optimizer_message
RGARCH-CARR-SK-RV,RV_pressure,rho,0.05284329368691063,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,omega,1.134054046711539,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,beta,0.9798645974520442,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,gamma,-0.4502114021080856,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,d1,0.7074582553744264,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,d2,0.28923180609309357,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,sigma_u,2.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,omega_1,-0.7999985535921367,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,beta_1,0.23262856804311122,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,v_1,-0.7999983239678413,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,omega_2,0.7160109802145869,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,beta_2,0.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RV,RV_pressure,v_2,0.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RBV,RBV_pressure,rho,0.05283602158324425,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RBV,RBV_pressure,omega,1.3838067663184987,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
RGARCH-CARR-SK-RBV,RBV_pressure,beta,0.9296797482837501,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
