eval_period,quantile,target,pinball_loss,nobs
validation,0.1,MarketLSI,0.027922869783685227,33350
validation,0.1,CrossStress,0.029738816190976108,33350
validation,0.1,IndexRet,0.13039216310189608,33350
validation,0.1,IndexRV,0.015599058695359852,33350
validation,0.1,MarketRelAmt,0.02248977518368043,33350
validation,0.5,MarketLSI,0.048988349269116646,33350
validation,0.5,CrossStress,0.04571147165231086,33350
validation,0.5,IndexRet,0.28409484492237475,33350
validation,0.5,IndexRV,0.03361259713405526,33350
validation,0.5,MarketRelAmt,0.045374309431235584,33350
validation,0.9,MarketLSI,0.03071276750483917,33350
validation,0.9,CrossStress,0.033269747319325735,33350
validation,0.9,IndexRet,0.1377411945275074,33350
validation,0.9,IndexRV,0.02311040261375392,33350
validation,0.9,MarketRelAmt,0.027070799290452686,33350
validation,0.95,MarketLSI,0.02244542081438173,33350
validation,0.95,CrossStress,0.02489865929625103,33350
validation,0.95,IndexRet,0.08377070504778113,33350
validation,0.95,IndexRV,0.016022739823981717,33350
validation,0.95,MarketRelAmt,0.0195236378647638,33350
test,0.1,MarketLSI,0.026953664589503316,33350
test,0.1,CrossStress,0.027057593403218092,33350
test,0.1,IndexRet,0.1448852802774777,33350
test,0.1,IndexRV,0.0174151426584977,33350
test,0.1,MarketRelAmt,0.020611894554303664,33350
test,0.5,MarketLSI,0.044677497064005325,33350
test,0.5,CrossStress,0.045626990994914116,33350
test,0.5,IndexRet,0.3222159496492042,33350
test,0.5,IndexRV,0.038226058818355356,33350
test,0.5,MarketRelAmt,0.04081827573413227,33350
test,0.9,MarketLSI,0.030332331807875073,33350
test,0.9,CrossStress,0.03154405104423672,33350
test,0.9,IndexRet,0.1491101635145788,33350
test,0.9,IndexRV,0.025167484966451183,33350
test,0.9,MarketRelAmt,0.024235269706656667,33350
test,0.95,MarketLSI,0.02306531918953026,33350
test,0.95,CrossStress,0.023360916514994837,33350
test,0.95,IndexRet,0.08892226591490071,33350
test,0.95,IndexRV,0.017413365242724247,33350
test,0.95,MarketRelAmt,0.01740756312668143,33350
