horizon,period,bin,rows,mean_predicted_probability,realized_pressure_rate
H10,test,0,256674,0.015392662957310677,0.0013324294704943895
H10,test,1,256671,0.017779231071472168,0.002473984146490693
H10,test,2,256673,0.020411530509591103,0.0038687356282025576
H10,test,3,256672,0.024128815159201622,0.005847930442541838
H10,test,4,256673,0.029931815341114998,0.008953025564551353
H10,test,5,256672,0.03935497999191284,0.014945143833756447
H10,test,6,256672,0.055285632610321045,0.024583904072642326
H10,test,7,256673,0.08797838538885117,0.0434989258646965
H10,test,8,256672,0.1842401623725891,0.089479960501194
H10,test,9,256673,0.6065424680709839,0.3854047656059265
H10,validation,0,257758,0.020291702821850777,0.0016255558002740145
H10,validation,1,257757,0.023121101781725883,0.0025721900165081024
H10,validation,2,257757,0.025847047567367554,0.004189992789179087
H10,validation,3,257757,0.02923933044075966,0.006168600637465715
H10,validation,4,257757,0.03410782665014267,0.009481798857450485
H10,validation,5,257757,0.04212376847863197,0.014994743280112743
H10,validation,6,257757,0.0571235828101635,0.024581290781497955
H10,validation,7,257757,0.08850305527448654,0.03958379477262497
H10,validation,8,257757,0.1780279576778412,0.0801180973649025
H10,validation,9,257757,0.603300154209137,0.3443436920642853
H5,test,0,264832,0.011207833886146545,0.0008344912785105407
H5,test,1,264826,0.013214210979640484,0.0013518310151994228
H5,test,2,264823,0.015457714907824993,0.0020390977151691914
H5,test,3,264828,0.018784968182444572,0.0032549428287893534
H5,test,4,264826,0.0237603597342968,0.005305370315909386
H5,test,5,264827,0.03144330531358719,0.0089983269572258
H5,test,6,264827,0.04550847411155701,0.016826078295707703
H5,test,7,264828,0.07711636275053024,0.034312836825847626
H5,test,8,264826,0.1673116832971573,0.07864031195640564
H5,test,9,264827,0.6068364977836609,0.3925921320915222
H5,validation,0,265209,0.018996231257915497,0.0006410038913600147
H5,validation,1,265208,0.020989326760172844,0.00111987569835037
H5,validation,2,265208,0.023262642323970795,0.0018136707367375493
H5,validation,3,265208,0.02683723345398903,0.003076830180361867
H5,validation,4,265208,0.03251827880740166,0.005128050222992897
H5,validation,5,265208,0.04151809960603714,0.008725226856768131
H5,validation,6,265207,0.056523647159338,0.014852548949420452
H5,validation,7,265209,0.08894343674182892,0.032412171363830566
H5,validation,8,265208,0.18625546991825104,0.07343669980764389
H5,validation,9,265208,0.630217969417572,0.36440831422805786
