horizon,period,group,rows,mean_predicted_probability,realized_pressure_rate
H10,test,top_1pct,25668,0.9681252241134644,0.8571372628211975
H10,test,top_5pct,128337,0.8021053671836853,0.5641552805900574
H10,test,top_10pct,256673,0.6065424084663391,0.3854047656059265
H10,test,top_20pct,513345,0.39539170265197754,0.23744265735149384
H10,validation,top_1pct,25776,0.9745550751686096,0.8842334151268005
H10,validation,top_5pct,128879,0.8011491894721985,0.5202398896217346
H10,validation,top_10pct,257758,0.6032989621162415,0.3443423807621002
H10,validation,top_20pct,515515,0.3906635642051697,0.21223048865795135
H5,test,top_1pct,26483,0.971892774105072,0.8940830230712891
H5,test,top_5pct,132414,0.8142145276069641,0.5930263996124268
H5,test,top_10pct,264827,0.6068365573883057,0.3925921320915222
H5,test,top_20pct,529654,0.38707396388053894,0.23561608791351318
H5,validation,top_1pct,26521,0.977076530456543,0.8963086009025574
H5,validation,top_5pct,132605,0.8303252458572388,0.5562761425971985
H5,validation,top_10pct,265209,0.6302165389060974,0.364406943321228
H5,validation,top_20pct,530417,0.4082360565662384,0.21892209351062775
