scenario,scenario_cn,quantile,horizon,MarketLSI_response,direction
market_crash,市场急跌,0.5,1,-0.0139836227711134,-1
market_crash,市场急跌,0.5,2,-0.013271857097925966,-1
market_crash,市场急跌,0.5,3,-0.01161876742633355,-1
market_crash,市场急跌,0.5,4,-0.010101027141863733,-1
market_crash,市场急跌,0.5,5,-0.008777456194920982,-1
market_crash,市场急跌,0.5,6,-0.007628517497848871,-1
market_crash,市场急跌,0.5,7,-0.006631573446583307,-1
market_crash,市场急跌,0.5,8,-0.005766527278328524,-1
market_crash,市场急跌,0.5,9,-0.005015908115480715,-1
market_crash,市场急跌,0.5,10,-0.004364557025538972,-1
volatility_spike,波动放大,0.5,1,-0.0207831588651856,-1
volatility_spike,波动放大,0.5,2,-0.039120419880391485,-1
volatility_spike,波动放大,0.5,3,-0.05455430509287829,-1
volatility_spike,波动放大,0.5,4,-0.06741858241160657,-1
volatility_spike,波动放大,0.5,5,-0.07806141763279706,-1
volatility_spike,波动放大,0.5,6,-0.08678929216501444,-1
volatility_spike,波动放大,0.5,7,-0.09386816495591356,-1
volatility_spike,波动放大,0.5,8,-0.09952849654045778,-1
volatility_spike,波动放大,0.5,9,-0.10396993103573006,-1
volatility_spike,波动放大,0.5,10,-0.1073653837035354,-1
liquidity_contraction,成交收缩/流动性压力,0.5,1,0.00212791977221,1
liquidity_contraction,成交收缩/流动性压力,0.5,2,0.0037722263233455873,1
liquidity_contraction,成交收缩/流动性压力,0.5,3,0.0052250176720677055,1
liquidity_contraction,成交收缩/流动性压力,0.5,4,0.0065280041588149425,1
liquidity_contraction,成交收缩/流动性压力,0.5,5,0.00770036287242881,1
liquidity_contraction,成交收缩/流动性压力,0.5,6,0.00875741788064964,1
liquidity_contraction,成交收缩/流动性压力,0.5,7,0.009712414629323873,1
liquidity_contraction,成交收缩/流动性压力,0.5,8,0.010576895778660712,1
liquidity_contraction,成交收缩/流动性压力,0.5,9,0.011360933471475414,1
liquidity_contraction,成交收缩/流动性压力,0.5,10,0.012073323300013485,1
composite_pressure,复合压力,0.5,1,-0.032638861864088986,-1
composite_pressure,复合压力,0.5,2,-0.048620050654971866,-1
composite_pressure,复合压力,0.5,3,-0.06094805484714414,-1
composite_pressure,复合压力,0.5,4,-0.07099160539465536,-1
composite_pressure,复合压力,0.5,5,-0.07913851095528922,-1
composite_pressure,复合压力,0.5,6,-0.08566039178221366,-1
composite_pressure,复合压力,0.5,7,-0.09078732377317301,-1
composite_pressure,复合压力,0.5,8,-0.09471812804012562,-1
composite_pressure,复合压力,0.5,9,-0.0976249056797354,-1
composite_pressure,复合压力,0.5,10,-0.09965661742906093,-1
market_crash,市场急跌,0.9,1,-0.016669095525449595,-1
market_crash,市场急跌,0.9,2,-0.015682743710132063,-1
market_crash,市场急跌,0.9,3,-0.013426651142099733,-1
market_crash,市场急跌,0.9,4,-0.011326293791231401,-1
market_crash,市场急跌,0.9,5,-0.00947963384515238,-1
market_crash,市场急跌,0.9,6,-0.007869827202850121,-1
market_crash,市场急跌,0.9,7,-0.0064727580281391806,-1
market_crash,市场急跌,0.9,8,-0.0052662708590143215,-1
market_crash,市场急跌,0.9,9,-0.004230693867170565,-1
market_crash,市场急跌,0.9,10,-0.0033486214916367274,-1
volatility_spike,波动放大,0.9,1,-0.022657526139582204,-1
volatility_spike,波动放大,0.9,2,-0.0621761656632675,-1
volatility_spike,波动放大,0.9,3,-0.12124317181698635,-1
volatility_spike,波动放大,0.9,4,-0.19864794334781055,-1
volatility_spike,波动放大,0.9,5,-0.29301426876134207,-1
volatility_spike,波动放大,0.9,6,-0.40311237730985483,-1
volatility_spike,波动放大,0.9,7,-0.5278689651217905,-1
volatility_spike,波动放大,0.9,8,-0.6663524065670214,-1
volatility_spike,波动放大,0.9,9,-0.8177575826348784,-1
volatility_spike,波动放大,0.9,10,-0.9813922912727187,-1
liquidity_contraction,成交收缩/流动性压力,0.9,1,-0.0377733192917144,-1
liquidity_contraction,成交收缩/流动性压力,0.9,2,-0.07708520795913551,-1
liquidity_contraction,成交收缩/流动性压力,0.9,3,-0.11286885347592124,-1
liquidity_contraction,成交收缩/流动性压力,0.9,4,-0.14418131842371795,-1
liquidity_contraction,成交收缩/流动性压力,0.9,5,-0.17050416596815665,-1
liquidity_contraction,成交收缩/流动性压力,0.9,6,-0.1914070923169815,-1
liquidity_contraction,成交收缩/流动性压力,0.9,7,-0.20651163324084099,-1
liquidity_contraction,成交收缩/流动性压力,0.9,8,-0.21548228925353285,-1
liquidity_contraction,成交收缩/流动性压力,0.9,9,-0.2180207239033216,-1
liquidity_contraction,成交收缩/流动性压力,0.9,10,-0.2138607955310765,-1
composite_pressure,复合压力,0.9,1,-0.0770999409567462,-1
composite_pressure,复合压力,0.9,2,-0.1549441173325351,-1
composite_pressure,复合压力,0.9,3,-0.24753867643500727,-1
composite_pressure,复合压力,0.9,4,-0.3541555555627598,-1
composite_pressure,复合压力,0.9,5,-0.4729980685746511,-1
composite_pressure,复合压力,0.9,6,-0.6023892968296859,-1
composite_pressure,复合压力,0.9,7,-0.7408533563907702,-1
composite_pressure,复合压力,0.9,8,-0.8871009666795687,-1
composite_pressure,复合压力,0.9,9,-1.04000900040537,-1
composite_pressure,复合压力,0.9,10,-1.1986017082954321,-1
market_crash,市场急跌,0.95,1,-0.015855407858117204,-1
market_crash,市场急跌,0.95,2,-0.014686301957297254,-1
market_crash,市场急跌,0.95,3,-0.012279151148061551,-1
market_crash,市场急跌,0.95,4,-0.009969412409222889,-1
market_crash,市场急跌,0.95,5,-0.007860734182932427,-1
market_crash,市场急跌,0.95,6,-0.005953344387603199,-1
market_crash,市场急跌,0.95,7,-0.004240222448007813,-1
market_crash,市场急跌,0.95,8,-0.0027151587235123564,-1
market_crash,市场急跌,0.95,9,-0.0013733007223590832,-1
market_crash,市场急跌,0.95,10,-0.00021106576404417154,-1
volatility_spike,波动放大,0.95,1,-0.057499219538399815,-1
volatility_spike,波动放大,0.95,2,-0.1459937875762144,-1
volatility_spike,波动放大,0.95,3,-0.26821530398505566,-1
volatility_spike,波动放大,0.95,4,-0.42367638622264137,-1
volatility_spike,波动放大,0.95,5,-0.6116256747464874,-1
volatility_spike,波动放大,0.95,6,-0.8312773257719683,-1
volatility_spike,波动放大,0.95,7,-1.0818086371763433,-1
volatility_spike,波动放大,0.95,8,-1.3623386495706156,-1
volatility_spike,波动放大,0.95,9,-1.6719058626492638,-1
volatility_spike,波动放大,0.95,10,-2.0094466008215845,-1
liquidity_contraction,成交收缩/流动性压力,0.95,1,-0.05829574147221439,-1
liquidity_contraction,成交收缩/流动性压力,0.95,2,-0.11907582030043251,-1
liquidity_contraction,成交收缩/流动性压力,0.95,3,-0.17489624439563067,-1
liquidity_contraction,成交收缩/流动性压力,0.95,4,-0.22343413364605347,-1
liquidity_contraction,成交收缩/流动性压力,0.95,5,-0.2628644641683435,-1
liquidity_contraction,成交收缩/流动性压力,0.95,6,-0.29146202735371585,-1
liquidity_contraction,成交收缩/流动性压力,0.95,7,-0.30756554273494485,-1
liquidity_contraction,成交收缩/流动性压力,0.95,8,-0.30957405265189974,-1
liquidity_contraction,成交收缩/流动性压力,0.95,9,-0.2959473707046447,-1
liquidity_contraction,成交收缩/流动性压力,0.95,10,-0.2652081124017398,-1
composite_pressure,复合压力,0.95,1,-0.1316503688687314,-1
composite_pressure,复合压力,0.95,2,-0.27975590983394416,-1
composite_pressure,复合压力,0.95,3,-0.455390699528748,-1
composite_pressure,复合压力,0.95,4,-0.6570799322779177,-1
composite_pressure,复合压力,0.95,5,-0.8823508730977636,-1
composite_pressure,复合压力,0.95,6,-1.1286926975132883,-1
composite_pressure,复合压力,0.95,7,-1.3936144023592971,-1
composite_pressure,复合压力,0.95,8,-1.674627860946028,-1
composite_pressure,复合压力,0.95,9,-1.9692265340762682,-1
composite_pressure,复合压力,0.95,10,-2.27486577898737,-1
