horizon,MarketLSI,CrossStress,IndexRet,IndexRV,MarketRelAmt,MarketLSI_baseline,MarketLSI_response,CrossStress_baseline,CrossStress_response,IndexRet_baseline,IndexRet_response,IndexRV_baseline,IndexRV_response,MarketRelAmt_baseline,MarketRelAmt_response,quantile,shock_size,scenario,scenario_cn,shock_definition
0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.5,1.0,market_crash,市场急跌,IndexRet 下降
1,-0.0111007409175176,-1.9335127441830194e-07,-0.1121844146861383,-0.0039808026646738996,-0.0100512416673536,-0.0041089295319609,-0.0069918113855567,-1.548973090070849e-07,-3.845396541121704e-08,-0.0327676947159286,-0.07941671997020969,-0.00319221909555,-0.0007885835691238997,-0.0094286258913963,-0.0006226157759573001,0.5,1.0,market_crash,市场急跌,IndexRet 下降
2,-0.014509444880198952,-3.452889615208636e-07,-0.04016274835725955,-0.00696060028058835,-0.018987537720952734,-0.007873516331235968,-0.006635928548962984,-3.0782631789174973e-07,-3.7462643629113894e-08,-0.034809789830540935,-0.005352958526718618,-0.006269832181067615,-0.000690768099520735,-0.018585476783528895,-0.00040206093742383917,0.5,1.0,market_crash,市场急跌,IndexRet 下降
3,-0.016934233994067176,-4.916766904947644e-07,-0.0339785760143552,-0.009761521929292534,-0.027620236453690803,-0.011124850280900399,-0.005809383713166777,-4.5782928763972706e-07,-3.3847402855037304e-08,-0.03445891898071706,0.00048034296636186025,-0.009217824508809303,-0.0005436974204832308,-0.02746830883445411,-0.0001519276192366928,0.5,1.0,market_crash,市场急跌,IndexRet 下降
4,-0.018964587509148832,-6.356374492346688e-07,-0.03315741747743901,-0.01245924127180917,-0.03603154020691387,-0.013914073938216963,-0.005050513570931869,-6.051343944280734e-07,-3.050305480659541e-08,-0.03398820530069092,0.0008307878232519036,-0.012047329892673209,-0.0004119113791359614,-0.03609885063995118,6.731043303730838e-05,0.5,1.0,market_crash,市场急跌,IndexRet 下降
5,-0.020690212443396905,-7.776247540356861e-07,-0.032816138665072825,-0.015068058066899282,-0.04424279468152118,-0.01630148434593641,-0.004388728097460496,-7.500259055038429e-07,-2.7598848531843212e-08,-0.033571183661258726,0.000755044996185901,-0.014770008415783048,-0.00029804965111623373,-0.044498015839338746,0.0002552211578175645,0.5,1.0,market_crash,市场急跌,IndexRet 下降
6,-0.022154925869598826,-9.178510929739114e-07,-0.03255468753823908,-0.017596290455062058,-0.052268642422014955,-0.018340667120674385,-0.0038142587489244408,-8.927583076235061e-07,-2.5092785350405208e-08,-0.03321339817955433,0.0006587106413152508,-0.017396189377233577,-0.0002001010778284809,-0.05268426655726315,0.0004156241352481979,0.5,1.0,market_crash,市场急跌,IndexRet 下降
7,-0.02339399116328512,-1.0564871250343099e-06,-0.03233530649294925,-0.020050877097938548,-0.06012162493224289,-0.020078204439993464,-0.003315786723291657,-1.0335539136671438e-06,-2.2933211367166027e-08,-0.032907968318559515,0.0005726618256102628,-0.01993490268812744,-0.00011597440981110652,-0.06067379547663162,0.0005521705443887262,0.5,1.0,market_crash,市场急跌,IndexRet 下降
8,-0.024437771521663244,-1.1936806933294487e-06,-0.032150177947283844,-0.022437866290731842,-0.06781275842621923,-0.02155450788249898,-0.0028832636391642637,-1.1726065997791571e-06,-2.107409355029151e-08,-0.03264798319460717,0.0004978052473233255,-0.02239403854037096,-4.3827750360880824e-05,-0.06848081296108971,0.0006680545348704825,0.5,1.0,market_crash,市场急跌,IndexRet 下降
9,-0.02531258254163452,-1.329560919668703e-06,-0.031994531224737,-0.024762557827820247,-0.07535175785469186,-0.022804628483894158,-0.002507954057740361,-1.3100855162942657e-06,-1.947540337443728e-08,-0.032427372164773,0.00043284094003599727,-0.02478049661002609,1.793878220584383e-05,-0.0761178065767188,0.0007660487220269296,0.5,1.0,market_crash,市场急跌,IndexRet 下降
10,-0.026041245028492463,-1.4642407571294942e-06,-0.03186439039611755,-0.02702960331240402,-0.08274720906901539,-0.023858966515722977,-0.002182278512769486,-1.4461383450179532e-06,-1.8102412111541055e-08,-0.03224086335738656,0.00037647296126901153,-0.027100316366150214,7.071305374619502e-05,-0.08359576709695714,0.0008485580279417454,0.5,1.0,market_crash,市场急跌,IndexRet 下降
11,-0.026643549492457057,-1.5978191240737307e-06,-0.03175631993869331,-0.029243091353198913,-0.09000671641302749,-0.024743887782660897,-0.0018996617097961598,-1.58089412822454e-06,-1.6924995849190694e-08,-0.03208388346256542,0.00032756352387210835,-0.029358790197079904,0.00011569884388099028,-0.09092438465959689,0.0009176682465694003,0.5,1.0,market_crash,市场急跌,IndexRet 下降
12,-0.02713665788127879,-1.7303827491702837e-06,-0.03166734111223179,-0.03140662133851057,-0.09713703064468729,-0.02548225830174484,-0.0016543995795339494,-1.714465723316032e-06,-1.591702585425174e-08,-0.03195246562188862,0.0002851245096568353,-0.031560561566857576,0.00015394022834700621,-0.09811221896816147,0.0009751883234741798,0.5,1.0,market_crash,市场急跌,IndexRet 下降
13,-0.027535451981843942,-1.8620077716862782e-06,-0.03159487046255579,-0.03352336743708151,-0.1041441599261583,-0.026093908136155124,-0.0014415438456888176,-1.8469519325125286e-06,-1.5055839173749616e-08,-0.03184316910547533,0.000248298642919538,-0.03370971017997406,0.0001863427428925521,-0.10516684697143748,0.0010226870452791775,0.5,1.0,market_crash,市场急跌,IndexRet 下降
14,-0.027852835647430404,-1.9927611299519394e-06,-0.031536667364263235,-0.035596134131427225,-0.11103346613610299,-0.0265960337675346,-0.0012568018798958039,-1.9784393506108384e-06,-1.4321779341100942e-08,-0.03175300959848119,0.0002163422342179519,-0.0358098258752174,0.00021369174379017725,-0.11209499100456359,0.0010615248684606032,0.5,1.0,market_crash,市场急跌,IndexRet 下降
15,-0.028099996976220346,-2.122701766100915e-06,-0.03149078858601547,-0.03762740440628043,-0.11780974844948912,-0.02700354715053492,-0.0010964498256854256,-2.1090039681622314e-06,-1.3697797938683526e-08,-0.03167939872216971,0.00018861013615423944,-0.037864072741791634,0.00023666833551120453,-0.11890262998014257,0.0010928815306534556,0.5,1.0,market_crash,市场急跌,IndexRet 下降
16,-0.028286635748331432,-2.2518816714287466e-06,-0.031455548881851855,-0.03961938156520147,-0.12447731587166035,-0.027329378514453863,-0.0009572572338775696,-2.2387125624725325e-06,-1.3169108956214116e-08,-0.031620091568432505,0.00016454268658065013,-0.03987524475305345,0.00025586318785197903,-0.12559509587489542,0.0011177800032350776,0.5,1.0,market_crash,市场急跌,IndexRet 下降
17,-0.028421160724852467,-2.3803467934838567e-06,-0.031429486804733835,-0.04157402551941756,-0.13104005018986298,-0.027584739040719397,-0.00083642168413307,-2.3676239045343824e-06,-1.2722888949474295e-08,-0.031573141186142996,0.0001436543814091612,-0.0418458140415824,0.0002717885221648411,-0.13217715745984365,0.001137107269980675,0.5,1.0,market_crash,市场急跌,IndexRet 下降
18,-0.02851086080234169,-2.5081378232075335e-06,-0.03141133504992234,-0.04349308428111034,-0.1375014606115431,-0.02777934873288796,-0.0007315120694537276,-2.495789806276913e-06,-1.2348016930620677e-08,-0.03153685909821203,0.0001255240482896866,-0.04377797279040707,0.00028488850929673376,-0.1386530929638955,0.001151632352352383,0.5,1.0,market_crash,市场急跌,IndexRet 下降
19,-0.02856205348708969,-2.6352908780124363e-06,-0.03139999472793272,-0.045378121296352894,-0.1438647311905436,-0.02792163409134044,-0.000640419395749249,-2.6232560292870116e-06,-1.2034848725424685e-08,-0.03150978105025322,0.00010978632232049729,-0.045673669586045906,0.0002955482896930123,-0.1450267531368009,0.0011620219462573078,0.5,1.0,market_crash,市场急跌,IndexRet 下降
20,-0.02858021369441163,-2.761838094583811e-06,-0.03139451304637976,-0.047230539168734716,-0.15013276199643222,-0.028018899593722446,-0.0005613141006891829,-2.750063073353416e-06,-1.1775021230395034e-08,-0.031490637297648116,9.612425126835633e-05,-0.04753464096697194,0.0003041017982372274,-0.15130161598320047,0.001168853986768248,0.5,1.0,market_crash,市场急跌,IndexRet 下降
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
1,-0.0145005089645537,-7.590463602380471e-07,-0.0913587434390435,0.9699414221057668,-0.021122793464058202,-0.0041089295319609,-0.0103915794325928,-1.548973090070849e-07,-6.041490512309622e-07,-0.0327676947159286,-0.0585910487231149,-0.00319221909555,0.9731336412013168,-0.0094286258913963,-0.011694167572661902,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
2,-0.027433726271431712,-1.4977897625656844e-06,-0.09532110511619835,0.9408477403721834,-0.0411878250879083,-0.007873516331235968,-0.019560209940195743,-3.0782631789174973e-07,-1.1899634446739346e-06,-0.034809789830540935,-0.06051131528565741,-0.006269832181067615,0.947117572553251,-0.018585476783528895,-0.02260234830437941,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
3,-0.038402002827339535,-2.2141715922252724e-06,-0.09258652634128542,0.9127334863301353,-0.060220713625130845,-0.011124850280900399,-0.027277152546439136,-4.5782928763972706e-07,-1.7563423045855454e-06,-0.03445891898071706,-0.05812760736056836,-0.009217824508809303,0.9219513108389445,-0.02746830883445411,-0.03275240479067673,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
4,-0.04762336514402024,-2.9094535673411337e-06,-0.08961745601989177,0.8855410600320965,-0.0783116397841378,-0.013914073938216963,-0.03370929120580328,-6.051343944280734e-07,-2.3043191729130602e-06,-0.03398820530069092,-0.05562925071920085,-0.012047329892673209,0.8975883899247697,-0.03609885063995118,-0.04221278914418662,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
5,-0.055332193162334925,-3.585006055283577e-06,-0.08689668810771839,0.8592134432696921,-0.09554520909627369,-0.01630148434593641,-0.039030708816398516,-7.500259055038429e-07,-2.834980149779734e-06,-0.033571183661258726,-0.053325504446459664,-0.014770008415783048,0.8739834516854751,-0.044498015839338746,-0.05104719325693494,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
6,-0.06173531320318158,-4.242069516737229e-06,-0.08442991825059379,0.833699246178585,-0.11199620457043999,-0.018340667120674385,-0.0433946460825072,-8.927583076235061e-07,-3.349311209113723e-06,-0.03321339817955433,-0.05121652007103946,-0.017396189377233577,0.8510954355558186,-0.05268426655726315,-0.059311938013176836,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
7,-0.06701228691795023,-4.881752975304737e-06,-0.08218872961853368,0.8089524055484866,-0.12773046576113203,-0.020078204439993464,-0.04693408247795677,-1.0335539136671438e-06,-3.848199061637593e-06,-0.032907968318559515,-0.04928076129997417,-0.01993490268812744,0.828887308236614,-0.06067379547663162,-0.06705667028450041,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
8,-0.07131875615272787,-5.505049267012701e-06,-0.0801457332894139,0.7849315451056639,-0.1428060197748517,-0.02155450788249898,-0.04976424827022889,-1.1726065997791571e-06,-4.332442667233544e-06,-0.03264798319460717,-0.04749775009480674,-0.02239403854037096,0.8073255836460348,-0.06848081296108971,-0.07432520681376198,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
9,-0.07478959400175919,-6.112849620638051e-06,-0.07827690192651063,0.7615993893948207,-0.15727409257842567,-0.022804628483894158,-0.05198496551786504,-1.3100855162942657e-06,-4.802764104343785e-06,-0.032427372164773,-0.04584952976173763,-0.02478049661002609,0.7863798860048469,-0.0761178065767188,-0.08115628600170688,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
10,-0.07754165836749069,-6.70595642959992e-06,-0.07656132454856598,0.7389222521379256,-0.17117998918716992,-0.023858966515722977,-0.053682691851767717,-1.4461383450179532e-06,-5.259818084581967e-06,-0.03224086335738656,-0.044320461191179425,-0.027100316366150214,0.7660225685040758,-0.08359576709695714,-0.08758422209021278,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
11,-0.07967618220592076,-7.285094355709522e-06,-0.07498081077426336,0.716869591472649,-0.1845638578969181,-0.024743887782660897,-0.054932294423259864,-1.58089412822454e-06,-5.704200227484982e-06,-0.03208388346256542,-0.04289692731169794,-0.029358790197079904,0.7462283816697288,-0.09092438465959689,-0.0936394732373212,0.5,1.0,volatility_spike,波动放大,IndexRV 上升
