rows,positive_rate,PR_AUC,ROC_AUC,Brier,Top5_hit_rate,Top5_lift,Top5_rows,horizon,window,notes
2577571,0.052765956786447396,0.5282429773363452,0.9010178442238509,0.043389658362635045,0.5202399149589926,9.859385608499245,128879,H10,baseline_validation,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
2652081,0.050561427045403215,0.5892631798834115,0.9296329568679341,0.0403207827019575,0.5562761585158931,11.001986910226396,132605,H5,baseline_validation,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
2566725,0.058038940673426256,0.5445025391339091,0.9090995294791595,0.0435464334024797,0.5641553098482901,9.720289572869385,128337,H10,baseline_test,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
2648270,0.05441552409686323,0.6034844730128194,0.9304686444056639,0.03808713337328042,0.5930264171462232,10.898110915748912,132414,H5,baseline_test,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
2318802,0.05668746188764716,0.5376464508603447,0.9092358062845853,0.04243707115959157,0.5533159106787072,9.76081645312261,115941,H10,test_late_subset,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
2392392,0.05325130664205532,0.5996933803948343,0.93103616578541,0.03716950682486266,0.5841163685002508,10.969052316904913,119620,H5,test_late_subset,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
1116733,0.05954959690454209,0.5494988233328076,0.9118566892291319,0.04252137626392029,0.5832870677149561,9.794979278364627,55837,H10,test_final_quarter,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
1151878,0.056233385827318516,0.617446415150587,0.9331330634418213,0.03754744716117523,0.6179115880126402,10.988340447970236,57594,H5,test_final_quarter,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
1130402,0.05169930697220989,0.5564673341567941,0.9043379562000762,0.045651675287023796,0.5362254737177332,10.372005063935816,56521,H10,validation_late_subset,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
1166302,0.048513163828922526,0.6090611603819295,0.9322052545005776,0.04003395427215153,0.5585259620001372,11.51287440187844,58316,H5,validation_late_subset,基于已保存样本外预测概率的时间窗口敏感性复核，未重训主模型。
